Question ID,Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Image
2146,On the back of your skull you can feel a small bump below which is an opening where the spinal cord enters the skull. The location of this opening toward the bottom of the skull is significant in evolutionary biology for what reason?,Multiple Choice,It allowed for the hominin brain to grow much larger than other primates.,It provided greater protection for the spinal cord.,It occurred as a result of the change to a bipedal stance.,It was necessary for the increase in size from prosimian forms to anthropoid forms.,,3,
2147,In what respect do hominins differ from all other anthropoids?,Multiple Choice,Lack of a tail,Eyes on the front of the face,Exclusive Bipedal posture,Opposable thumbs,Diurnal activity,3,
2148,Which of the following groups is classified as Homo sapiens?,Multiple Choice,Neanderthals,Cro-Magnons,Paranthropus,Australopithecus,None of the above is classified as Homo sapiens.,2,
2149,"Use the following information to answer the question(s) below.

Brown et al. and Morwood et al. reported in 2004 that they had found skeletal remains of a previously unknown type of hominin, now dubbed Homo floresiensis, on the Indonesian island of Flores. These hominins were small (approximately 1 meter tall), with small braincases (approximately 380 cubic centimeters) as compared with other hominins. The remains of H. floresiensis were found alongside handmade stone tools and the remains of dwarf elephants that also inhabited the island, suggesting that H. floresiensis was able both to make tools and to coordinate the hunting of animals much larger than itself.

H. floresiensis is estimated to have lived at the site where the remains were found from at least 38,000 years ago to 18,000 years ago. Referring to the paragraph above think about the most feasible method to evaluate which other hominin species H. floresiensis was most closely related. You could compare __________.",Multiple Choice,type of prey hunted by H. floresiensis to that hunted by each of the other hominin species,average body size of H. floresiensis to that of each of the other hominin species,skeletal morphology of H. floresiensis to that of each of the other hominin species,estimated life span of H. floresiensis to that of each of the other hominin species,,3,
2150,"Use the following information to answer the question(s) below.

Brown et al. and Morwood et al. reported in 2004 that they had found skeletal remains of a previously unknown type of hominin, now dubbed Homo floresiensis, on the Indonesian island of Flores. These hominins were small (approximately 1 meter tall), with small braincases (approximately 380 cubic centimeters) as compared with other hominins. The remains of H. floresiensis were found alongside handmade stone tools and the remains of dwarf elephants that also inhabited the island, suggesting that H. floresiensis was able both to make tools and to coordinate the hunting of animals much larger than itself.

H. floresiensis is estimated to have lived at the site where the remains were found from at least 38,000 years ago to 18,000 years ago. Considering the paragraph above, it is speculated that H. floresiensis and H. sapiens may have lived on Flores concurrently. Suppose researchers obtained mitochondrial DNA samples from the H. floresiensis remains, amplified a 1000-base-pair sequence via PCR, and compared it to that of several currently living H. sapiens native to Indonesia, North Africa, and North America. Also suppose H. floresiensis were found to differ from the average Indonesian H. sapiens in 28 base pairs, from the average North African H. sapiens in 51 base pairs, and from the average North American H. sapiens in 53 base pairs, while two randomly selected H. sapiens differed from each other in an average of 21 base pairs. What conclusion would you draw from these data?",Multiple Choice,H. floresiensis and H. sapiens probably did not live on Flores,H. floresiensis and H. sapiens probably lived on Flores concurrently but did not interact.,H. floresiensis and H. sapiens probably lived on Flores concurrently and H. sapiens killed and consumed H. floresiensis.,H. floresiensis and H. sapiens probably lived on Flores concurrently and interbred to some degree.,,4,
2151,The oldest fossil remains of Homo sapiens found so far date from about __________.,Multiple Choice,6 million years ago,1.6 million years ago,195000 years ago,60000 years ago,300000 years ago (new evidence),5,
2152,As hominins diverged from other primates which of the following appeared first?,Multiple Choice,Reduced jawbones,Language,Bipedal locomotion,The making of stone tools,An enlarged brain,3,
2153,Which of the following is consistent with the out-of-Africa hypothesis?,Multiple Choice,Modern Homo sapiens can trace their origin back to Neanderthals.,Modern Homo sapiens share some DNA with Neanderthals and Denisovians.,Interbreeding between early hominin species in Europe and Asia lead to the distinctive features of modern Homo sapiens.,The oldest Homo sapiens fossils have been found in Africa.,DNA in modern humans show the least genetic diversity African lineages.,4,
2154,Which of these statements about human evolution is correct?,Multiple Choice,The ancestors of Homo sapiens were chimpanzees.,Human evolution has proceeded in an orderly fashion from an ancestral anthropoid to Homo sapiens.,The evolution of upright posture and enlarged brain occurred simultaneously.,Different species of the genus Homo have coexisted at various times throughout hominin evolution.,,4,
2155,Which of the following is NOT an indication that humans are continuing to evolve?,Multiple Choice,A lactose tolerant gene has evolved and is spreading among communities.,The immune system has developed new recognition pathways for viruses.,Other species continue to recognize and react to the auditory and olfactory cues of humans.,Mutation rates are increasing due to exposure to environmental pollution.,,3,
2156,The dot represents the most recent common ancestor of all reptiles.,True/False,TRUE,FALSE,,,,1,/static/images/q2156.png
2157,"The model shows that """"Reptiles"""" are a paraphyletic group.",True/False,TRUE,FALSE,,,,2,/static/images/q2156.png
2158,"The group """"Reptiles"""" passes the one-snip test for monophyletic groups.",True/False,TRUE,FALSE,,,,1,/static/images/q2156.png
2159,Lizards and snakes are a paraphyletic group because snakes lack legs.,True/False,TRUE,FALSE,,,,2,/static/images/q2156.png
2160,Crocodiles and alligators are a paraphyletic group because they share a common ancestor with birds.,True/False,TRUE,FALSE,,,,2,/static/images/q2156.png
2161,Which groups of colored branches represent a monophyletic group? Select all that apply.,Multiple Choice,1 only,1 and 3,2 only,1 and 4,4 only,4,/static/images/q2161.png
2162,Which of these student models shows the evolutionary relationship between chimps and humans?,Multiple Choice,Model 1 (Sister taxa),Model 2,Model 3,Model 4,,1,/static/images/q2162.png
2163,Orangutans are the ancestors of the other Great Apes.,True/False,TRUE,FALSE,,,,2,/static/images/q2163.png
2164,The dot represents a chimpanzee.,True/False,TRUE,FALSE,,,,2,/static/images/q2163.png
2165,Western gorillas are a sister group to Eastern gorillas.,True/False,TRUE,FALSE,,,,1,/static/images/q2163.png
2166,Humans are the ancestors of chimpanzees and bonobos.,True/False,TRUE,FALSE,,,,2,/static/images/q2163.png
2167,The dot represents the most recent common ancestor of chimps and humans.,True/False,TRUE,FALSE,,,,1,/static/images/q2163.png
2168,Humans evolved from chimps.,True/False,TRUE,FALSE,,,,2,/static/images/q2163.png
2169,Based on modern phylogeny the closest living relative to dinosaurs are the __________.,Multiple Choice,birds,lizards and snakes,crocodiles,,,1,
2170,The embryo of which of the following organisms does NOT have an amnion?,Multiple Choice,A pig,A turtle,A frog,,,3,
2171,The function of the allantois in an amniotic egg is to __________.,Multiple Choice,contain fluid and provide buoyancy,store nutrients,store waste,provide surface area for gas exchange,,3,
2172,In the evolution of vertebrates __________.,Multiple Choice,both mammals and birds evolved from an amniote ancestor,dinosaurs were the common ancestor for all modern-day reptiles,mammals evolved from birds which evolved from reptiles,,,1,
2173,Waterproof skin,Multiple Choice,Node A,Node B,Node C,Node D,Node E,1,/static/images/q2173.png
2174,Amniotic egg,Multiple Choice,Node A,Node B,Node C,Node D,Node E,1,/static/images/q2173.png
2175,Placenta,Multiple Choice,Node A,Node B,Node C,Node D,Node E,3,/static/images/q2173.png
2176,Lactation,Multiple Choice,Node A,Node B,Node C,Node D,Node E,2,/static/images/q2173.png
2177,Endothermy (warm-bloodedness),Checkbox,Node A and E,Node B,Node C,Node D,Node E,1,/static/images/q2173.png
2178,Use the phylogenetic tree tree based on DNA sequence datacnabove to determine which of the following is the most likely classification.,Multiple Choice,Check the diagram in TB,please, please, please,please,1,/static/images/q2178.png
