Question ID,Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Image
1865,"Arrange the following structures, which can be found on male pine trees, from the largest structure to the smallest structure. (1. Sporophyte 2. Microspores 3. Microsporangia 4. Pollen cone 5. Pollen nuclei)",Multiple Choice,"1, 4, 3, 2, and 5","1, 4, 2, 3, and 5","1, 2, 3, 5, and 4","4, 1, 2, 3, and 5","4, 3, 2, 5, and 1",1,
1866,Which structure is common to both gymnosperms and angiosperms?,Multiple Choice,Stigma,Carpel,Ovule,Ovary,Anthers,3,
1867,Which of the following is a characteristic of all angiosperms?,Multiple Choice,Complete reliance on wind as the pollinating agent,Double internal fertilization,Free-living gametophytes,Carpels that contain microsporangia,Ovules that are not contained within ovaries,2,
1868,The generative cell of male angiosperm gametophytes is haploid. This cell divides to produce two haploid sperm cells. What type of cell division does the generative cell undergo to produce these sperm cells?,Multiple Choice,Binary fission,Mitosis,Meiosis,Mitosis without subsequent cytokinesis,Meiosis without subsequent cytokinesis,2,
1869,Angiosperms are the most successful terrestrial plants. Which of the following features is unique to them and helps account for their success?,Multiple Choice,Wind pollination,Dominant gametophytes,Fruits enclosing seeds,Embryos enclosed within seed coats,Sperm cells without flagella,3,
1870,"The fruit of the mistletoe, a parasitic angiosperm, is a oneseeded berry. In members of the genus Viscum, the outside of the seed is viscous (sticky), which permits the seed to adhere to surfaces such as the branches of host plants or the beaks of birds. What should be expected of the fruit if the viscosity of Viscum seeds is primarily an adaptation for dispersal rather than an adaptation for infecting host plant tissues? It should  . ",Multiple Choice,It should be drab in color.,It should be colored so as to provide it with camouflage.,It should be nutritious to the dispersing organisms.,It should secrete enzymes that can digest bark.,It should contain chemicals that cause birds to fly to the ground and vomit.,3,
1871,"Use the following information to answer the question(s) below.Harold and Kumar are premed and prepharmacy students, respectively. They complain to their biology professor that they should not have to study about plants because plants have little relevance to their chosen professions.  Which adaptations of land plants are likely to provide Harold (the doctor) with future patients? (I. Sporophyte dominance II. Defenses against herbivory III. Adaptations related to wind dispersal of pollen)",Multiple Choice,I only,II only,II and III,I and III,I II and III,3,
1872,"Use the following information to answer the question(s) below.Harold and Kumar are premed and prepharmacy students, respectively. They complain to their biology professor that they should not have to study about plants because plants have little relevance to their chosen professions. Which of the following lines of evidence would best support your assertion that a particular plant is an angiosperm?",Multiple Choice,It produces seeds.,It retains its fertilized egg within its archaegonium.,It lacks gametangia.,It undergoes alternation of generations.,It produces gametes by mitosis rather than meiosis.,3,
1873,"A botanist discovers a new species of land plant with a dominant sporophyte, chlorophylls a and b, and cell walls made of cellulose. In assigning this plant to a phylum, which of the following, if present, would be LEAST useful?",Multiple Choice,Endosperm,Seeds,Sperm that lack flagella,Flowers,Spores,5,
1874,Where are you LEAST likely to see green algae?,Multiple Choice,As pink snow in the mountains in summer,Growing symbiotically with fungi in lichens or with some invertebrate animals,Growing independently on dry rock in meadows,Growing independently on wet rock in ponds and lakes,Floating in seas and oceans,3,
1875,"Liverworts, hornworts, and mosses are grouped together as Bryophytes. Besides not having vascular tissue, what do they all have in common?",Multiple Choice,They are all wind pollinated.,They are heterosporous.,They can reproduce asexually by producing gemmae.,They require water for reproduction.,They have the ability to desiccate and rehydrate with no ill effects.,5,
1876,Which group of seedless vascular plants was the first to evolve roots?,Multiple Choice,Club mosses,Horsetails,Ferns,Whisk ferns,,1,
1877,Which plant group is notable for the independence of gametophyte and sporophyte generations from each other?,Multiple Choice,Ferns,Mosses,Charophytes,Angiosperms,Gymnosperms,1,
1878,Psilotophyta (whisk ferns) have traditionally been thought to be a basal group... Molecular phylogenies have challenged this hypothesis and support the alternative hypothesis that they _______.,Multiple Choice,are the sister group to the seed plants,represent a grade rather than a monophyletic group,have lost complex structures in this lineage,represent a lineage that forms a monophyletic group with Lycophyta,,3,
1879,Which feature of cycads distinguishes them from most other gymnosperms? (I. They have exposed ovules. II. They have flagellated sperm. III. They are pollinated by animals.),Multiple Choice,I only,II only,II and III,I II and III,,4,
1880,"Use the following information to answer the question(s) below. The Brazil nut tree, Bertholletia excels, is native to tropical rain forests of South America. It is a hardwood tree that can grow to over 50 meters tall, is a source of highquality lumber, and is a favorite nesting site for harpy eagles. As the rainy season ends, tough-walled fruits, each containing 8—25 seeds (Brazil nuts), fall to the forest floor. Brazil nuts are composed primarily of endosperm. About $50 million worth of nuts are harvested each year. Scientists have discovered that the pale yellow flowers of Brazil nut trees cannot fertilize themselves and admit only female orchid bees as pollinators. The agouti (Dasyprocta spp.), a catsized rodent, is the only animal with teeth strong enough to crack the hard wall of Brazil nut fruits. It typically eats some of the seeds, buries others, and leaves still others inside the fruit, which moisture can now enter. The uneaten seeds may subsequently germinate.     Entrepreneurs attempted, but failed, to harvest nuts from plantations grown in Southeast Asia. Attempts to grow Brazil nut trees in South American plantations also failed. In both cases, the trees grew vigorously, produced healthy flowers in profusion, but set no fruit.Consequently, what is the likely source of the problem? ",Multiple Choice,Poor sporophyte viability,Poor sporophyte fertility,Failure to produce fertile ovules,Failure to produce pollen,Pollination failure,5,
1881,"Use the following information to answer the question(s) below. The Brazil nut tree, Bertholletia excels, is native to tropical rain forests of South America. It is a hardwood tree that can grow to over 50 meters tall, is a source of highquality lumber, and is a favorite nesting site for harpy eagles. As the rainy season ends, tough-walled fruits, each containing 8—25 seeds (Brazil nuts), fall to the forest floor. Brazil nuts are composed primarily of endosperm. About $50 million worth of nuts are harvested each year. Scientists have discovered that the pale yellow flowers of Brazil nut trees cannot fertilize themselves and admit only female orchid bees as pollinators. The agouti (Dasyprocta spp.), a catsized rodent, is the only animal with teeth strong enough to crack the hard wall of Brazil nut fruits. It typically eats some of the seeds, buries others, and leaves still others inside the fruit, which moisture can now enter. The uneaten seeds may subsequently germinate. Orchid bees are to Brazil nut trees as _______ are to pine trees.",Multiple Choice,breezes,rain droplets,seed-eating birds,squirrels,both seed-eating birds and squirrels,1,
1882,Match each life stage to its correct placement in the life cycle.,Multiple Choice,Answer,,,,,1,/static/images/q1882.png
1883,"Match each process to its correct placement in the life cycle. Some processes may be used
more than once.",Multiple Choice,Answer,,,,,1,/static/images/q1883.png
1884,The life stage at the top of the [Fern Life Cycle] cycle represents spores.,True/False,TRUE,FALSE,,,,1,/static/images/q1884.png
1885,All the life stages are drawn to the same scale.,True/False,TRUE,FALSE,,,,2,/static/images/q1884.png
1886,"This life cycle shows alternation of generations, alternating between a multicellular diploid form and single-celled haploid forms.",True/False,TRUE,FALSE,,,,2,/static/images/q1884.png
1887,The fern stage on the right side of the life cycle is the gametophyte.,True/False,TRUE,FALSE,,,,1,/static/images/q1884.png
1888,The red color in this model indicates diploid.,True/False,TRUE,FALSE,,,,1,/static/images/q1884.png
1889,Meiosis is the process that produces gametes.,True/False,TRUE,FALSE,,,,2,/static/images/q1884.png
1890,The fern stage on the right side of the life cycle has one set of chromosomes per cell.,True/False,TRUE,FALSE,,,,1,/static/images/q1884.png
1891,Plants provide many essential ecosystem services. Which of these is NOT an example of an ecosystem service plants provide?,Multiple Choice,Plants produce the carbon dioxide we breathe.,Plants are the base of the terrestrial food chain.,Plants play a role in moderating climate.,Plants are an important component of soil and hold soil in place.,,1,
1892,The common ancestor of all plants (green algae and land plants) would have had _______ while the common ancestor of all land plants would have had _______.,Multiple Choice,stomata; seeds,vascular tissue; cuticle,cuticle; vascular tissues,chlorophyll a/b; cuticle,seeds; vascular tissue,4,
1893,Spores and pollen are particularly abundant in the plant pollen record compared to other plant cells and structures. What component allowed their preservation?,Multiple Choice,Sporopollenin,Lignin,Cellulose,Wood,,1,
1894,When looking at the phylogeny of Plantae... we see that the non-vascular plants are the earliest branching group of land plants. What does this mean?,Multiple Choice,Non-vascular plants are more closely related to green algae than vascular plants.,Non-vascular plants are the most ancient group of living land plants.,Non-vascular plants are more diverse than other groups of land plants.,Non-vascular plants are less diverse than other groups of land plants.,Non-vascular plants are monophyletic.,2,
1895,When the first land plants adapted to life on land the common ancestor of all land plant evolved the presence of _______ which helped prevent water loss... therefore the evolution of _______ allowed for more efficient gas exchange.,Multiple Choice,chloroplasts; cuticle,cuticle; chloroplasts,vascular tissue; flavonoids,cuticle; stomata,stomata; vascular tissue,4,
1896,The first land plants were dependent upon water for reproduction. What adaptation allowed plants to reproduce without water?,Multiple Choice,Spores,Pollen,Seeds,Wood,Cuticle,2,
1897,The first land plants were _______ and their life cycle is dominated by the _______ phase.,Multiple Choice,green algae; gametophyte,non-vascular plants; sporophyte,seedless vascular plants; gametophyte,green algae; sporophyte,non-vascular plants; gametophyte,5,
1898,Homospory is observed in most _______ while heterospory is observed in all _______.,Multiple Choice,all green algae; land plants,non-vascular plants; vascular plants,seedless land plants; seed plants,gymnosperms; angiosperms,gametophytes; sporophytes,3,
1899,Which of the following angiosperm structure is properly matched with its ploidy?,Multiple Choice,Megasporangium–n,Microspore–2n,Fruit–2n,Stamen–n,Endosperm–2n,3,
1900,Double fertilization _______.,Multiple Choice,is exhibited by all seed plants during fertilization,occurs when both archegonia and antheridia produce gametes,results in the production of two zygotes within one ovule,results in the production of a diploid zygote and a diploid endosperm,is a process specific to angiosperms,5,
1901,While hiking in the Amazon you find a new plant. You don’t see any evidence of seeds or flowers... but it has vessels. What type of plant is this most likely to be?,Multiple Choice,Gymnosperm,Monocot,Eudicot,Seedless vascular plant,Not enough information to say,3,
1902,All angiosperms display which of the following characteristics?,Multiple Choice,Seeds with two cotyledons,Flower petals in multiples of three,A triploid endosperm,Vascular tissue scattered throughout stems,Homospory,3,
1903,Horsetails ferns and lycophytes are all seedless vascular plants. Which of the following characteristics would you expect to find in all three plants?,Multiple Choice,Dominant gametophyte,Pollen,Motile sperm,Vessels,,3,
1904,Green algae differ from land plants in many important ways. One of the ways in which they differ is:,Multiple Choice,Green algae store excess fixed carbon in glycogen while land plants store excess fixed carbon in starch.,Green algae have a cuticle made of lipids while land plants have a cuticle made of wax.,Green algae use stomata for gas exchange while land plants use simple diffusion for gas exchange.,Green algae do not undergo alternation of generations while all land plants do.,,4,
1,To colonize land plants had to overcome a number of difficulties. However once this occurred they were able to exploit more abundant resources. Which of the following resources are more plentiful on land than in water?,Multiple Choice,Carbon dioxide,Nitrogen,Water,Light,,4,
2,Which of the following is true about food webs?,Multiple Choice,Herbivores convert energy directly from the sun into chemical energy.,Carnivores eat herbivores and other carnivores.,Producers produce energy from eating plant material.,Herbivores are the base of food webs.,All of the above are true.,2,
3,Which of these activities is NOT a part of development of crop plants from wild relatives?,Multiple Choice,People planting seeds of the plants with the characteristic wanted,People making observations of desired plant characteristics,People eating products from only the plants with desired characteristics,People developing several varieties of crops from a wild relative,,3,
4,"What do the fuels wood, peat, coal, and ethanol have in common?",Multiple Choice,They are derived from fossilized animals.,They are formed from living or fossilized plants.,They are formed under pressure deep in the earth.,All of these answers apply.,,2,
5,The major function of the medicinal compounds in plants is to _______.,Multiple Choice,Attract pollinators for seed dispersal,Attract insects and birds to spread seeds and fruits,Defend the plant against herbivores and microbes,All of these answers apply.,,3,
6,A little mustard plant named Arabidopsis thaliana is best known for its _______.,Multiple Choice,Medicinal properties against heart disease,Ability to bind soil along stream banks,Exceptional production of oxygen in photosynthesis,Production of ethanol as a fuel,Use in laboratories as a model for studying plant processes,5,
7,According to the fossil record plants colonized terrestrial habitats _______.,Multiple Choice,In conjunction with insects that pollinated them,In conjunction with fungi that helped provide them with nutrients from the soil,From marine habitats,Only about 150 million years ago,,2,
8,Which of the following have biologists used in an attempt to understand the phylogenetic relationships among organisms?,Multiple Choice,Examined the fossil record,Compared morphological features,Examined similarities and differences in DNA sequences of homologous genes,All of the above,,4,
9,The most direct ancestors of land plants were probably _______.,Multiple Choice,Any of the green algae that live in water,Certain groups of algae,Photosynthesizing prokaryotes (cyanobacteria),Liverworts and mosses,,2,
10,Molecular phylogenies show all land plants are a monophyletic group. This suggests that _______.,Multiple Choice,There were many different transitions from aquatic to terrestrial habitats.,Wind-pollinated plants arose first.,Land plants have undergone a diversification since they first colonized terrestrial habitats.,There was a single transition from aquatic to terrestrial habitats.,,4,
11,About 450 million years ago the terrestrial landscape on Earth would have _______.,Multiple Choice,"Looked very similar to that of today, with flowers, grasses, shrubs, and trees","Been completely bare rock, with little pools that contained bacteria and cyanobacteria",Been covered with tall forests in swamps that became today's coal,Had nonvascular green plants similar to liverworts forming green mats on rock,,4,
12,Which of these time intervals based on plant fossils came last (most recently)?,Multiple Choice,Extensive growth of gymnosperm forests,Silurian-Devonian explosion with fossils of plant lineages that contain most of the major morphological innovations,Colonization of land by early liverworts and mosses,Rise and diversification of angiosperms,Carboniferous swamps with giant horsetails and lycophytes,4,
13,Which set contains the most closely related terms?,Multiple Choice,"Megasporangium, megaspore, pollen, ovule","Microsporangium, microspore, egg, ovary","Megasporangium, megaspore, egg, ovule","Microsporangium, microspore, carpel, ovary",,3,
14,Which of these is a major trend in land plant evolution?,Multiple Choice,The trend toward smaller size,The trend toward a gametophyte-dominated life cycle,The trend toward a sporophyte-dominated life cycle,The trend toward larger gametophytes,,3,
15,Psilotophyta have traditionally been thought to be a basal group... Molecular phylogenies have challenged this hypothesis and support the alternative hypothesis that _______.,Multiple Choice,They are the sister group to the seed plants.,They represent a grade rather than a monophyletic group.,They have lost complex structures in this lineage.,They represent a lineage that forms a monophyletic group with Lycophyta.,,3,
16,What evidence do paleobotanists look for that indicates the movement of plants from water to land?,Multiple Choice,Waxy cuticle to increase evaporation from leaves,Vascular tissue to conduct water and sugars,Sporopollenin to inhibit evaporation from leaves,Remnants of chloroplasts from photosynthesizing cells,Loss of structures that produce spores,2,
17,"Most moss leaves do not have a cuticle, are one to two cells thick, and have no veins. What does this imply about moss leaves and their structure?",Multiple Choice,They do not have stomata for gas exchange regulation.,They can easily lose water to and absorb water from the atmosphere.,They do not have vascular tissue.,All of the above answers apply.,,4,
18,Why have biologists hypothesized that the first land plants had a low sprawling growth habit?,Multiple Choice,At the time of the first land plants the atmosphere had oxygen mainly close to the ground.,Land animals of that period consumed erect plants.,The ancestors of land plants (green algae) lack the structural support to stand erect in air.,Land animals of that period were small so they needed short plants to eat.,Only fossilized plants exhibit this habit.,3,
19,What is characteristic of xylem cells that are mature?,Multiple Choice,They have only primary walls made of cellulose.,They have only secondary walls made of lignin.,They contain cytoplasm at maturity.,They have both primary and secondary walls.,All of these answers apply.,4,
20,What two major novelties allowed for the first colonization of terrestrial habitats by plants?,Multiple Choice,Roots and vascular tissue,Cuticle and pores,Roots and true leaves,Tracheids and vessel elements,All of these answers apply.,2,
21,Once plants evolved to live on land and had vascular tissue megaphylls appeared to be selected for... What is a major advantage of having larger leaves?,Multiple Choice,Plants are better able to cool themselves by waving their leaves in the wind.,Plants can shade the stem to prevent too much evaporation.,Plants have more photosynthetic tissue for increased sugar production.,Plants can better hide their reproductive parts from herbivores.,All of the above apply.,3,
22,The retaining of the zygote on the living gametophyte of land plants _______.,Multiple Choice,Protects the zygote from herbivores,Helps in dispersal of the zygote,Allows it to be nourished by the parent plant,Is found only in seed plants,,3,
23,Seed plants are heterosporous. This means that _______.,Multiple Choice,They produce two types of spores.,They produce two types of sperm.,They produce two types of pollen.,They produce two types of eggs.,,1,
24,Which of the following innovations is NOT associated with angiosperm diversification?,Multiple Choice,Vessel elements,Flowers,Leaves,Fruits,All of the above were associated with angiosperm diversification.,3,
25,Which of the following is true of stomata?,Multiple Choice,Stomata occur in all land plants and define them as a monophyletic group.,Stomata open to allow gas exchange and close to decrease water loss.,Stomata occur in all land plants and are the same as pores.,Stomata open to increase both water absorption and gas exchange.,,2,
26,Which of the following is a correct element of alternation of generations?,Multiple Choice,The sporophyte is haploid and produces gametes.,The sporophyte is diploid and produces spores.,The gametophyte is haploid and produces spores.,The gametophyte is diploid and produces gametes.,Two spores unite to form a zygote.,2,
27,Which of these are structures in a gametophyte generation?,Multiple Choice,"Leaves, stems, roots, flowers, cones","Spores, egg, sperm, pollen, archegonium","Antheridium, embryo, seed, spores, flower","Egg, sperm, zygote, embryo, seedling",,2,
28,Which of these processes does NOT result in the formation of a different generation in a plant's sexual life cycle?,Multiple Choice,Meiosis,Mitosis,Fertilization,,,2,
29,"Spores and seeds have basically the same function, dispersal, but are vastly different because _______.",Multiple Choice,Spores have a protective outer covering; seeds do not.,Spores have an embryo; seeds do not.,Spores have stored nutrition; seeds do not.,Spores are unicellular; seeds are not.,Spores depend primarily on animals for dispersal; seeds do not.,4,
30,The vast number and variety of flowers is probably related to various kinds of _______.,Multiple Choice,Seed dispersal agents,Pollinators,Herbivores,Climatic conditions,All of these answers apply.,2,
31,The herbicide 2; 4-D affects the metabolism of dicots and kills most of them. What is a common feature of plants that are susceptible to 2;4-D?,Multiple Choice,Branching leaf veins,Flower parts in threes,One cotyledon in the seed,Vascular tissue scattered throughout the stem,,1,
32,Plant systematists working with angiosperm DNA have determined that _______.,Multiple Choice,Dicots appear to have developed from more than one ancestor.,Dicots are not really angiosperms.,Monocots are not really angiosperms.,Monocots appear to have developed from more than one ancestor.,,1,
