Question ID,Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Image
1997,"In the traditional morphological phylogeny (A), the phylum Platyhelminthes is depicted as a sister taxon to the rest of the protostome phyla and as having diverged earlier from the lineage that led to the rest of the protostomes. In the molecular phylogeny (B), Platyhelminthes is depicted as a lophotrochozoan phylum. What probably led to this change?",Multiple Choice,Platyhelminthes ceased to be recognized as true protostomes.,Similarity of genetic information among triploblast groups has led to realization that some morphological features are evolutionarily flexible (e.g. coelom formation) and so cannot be used as a diagnostic character.,All Platyhelminthes must have a well-developed lophophore as their feeding apparatus.,Platyhelminthes’ close genetic ties to the arthropods became clear as their Hox gene sequences were studied.,,2,/static/images/q1997.png
1998,Use the following information.,Multiple Choice,Pseudocoelomates can be seen as an intermediate stage between acoelomate and coelomate development.,Although acoelomates and pseudocoelomates evolved only once coelomates evolved multiple times in different lineages.,Only the animals that evolved earliest are acoelomates.,Some pseudocoelomates and acoelomates have evolved from coelomates.,,4,/static/images/q1998.png
1999,New evidence indicates that the fate of the blastopore in Protostomes is variable. What is the fate of the blastopore in Deuterostomes?,Multiple Choice,In Deuterostomes the fate of the blastopore is also variable.,In Deuterostomes the blastopore will eventually form the mouth.,In Deuterostomes the blastopore will eventually form the anus.,,,3,
2000,Which of the statements regarding diversity in animals is TRUE?,Multiple Choice,Although animal feeding strategies are very diverse animals have the same sensory abilities.,Although animal sensory structures are very diverse animals all feed the same way.,Although animals reproduce in different ways all animals have the same kind of development.,Although animals can have different types of appendages all animals move under their own power at some point in their life.,Although some animals have different kinds of development all animals use appendages to move.,4,
2001,After a mass extinction event the animals with an immediate opportunity to increase in population size will be animals with the following ecological role(s):,Multiple Choice,Herbivores,Omnivores,Predators,Parasites,,1,
2002,From the information provided in the accompanying table how would you classify the feeding strategy of organism C?,Multiple Choice,Suspension feeding,Predation,Parasitism,Suspension feeding and predation,,4,/static/images/q2002.png
2003,Which of the following is most likely to be aquatic?,Multiple Choice,Suspension feeder,Mass feeder,Deposit feeder,Fluid feeder,,1,
2004,The evolution of jaws led to the diversification of animals because jaws made it easier for them bite off and eat large chunks of food. What kind of feeding tactic is this?,Multiple Choice,Mass feeding,Suspension feeding,Deposit feeding,Fluid feeding,,1,
2005,Animals can be mobile or sessile (nonmoving). What kind of feeding strategy would you expect to see in sessile animals?,Multiple Choice,Suspension (filter) feeding,Mass feeding,Deposit feeding,,,1,
2006,"A radula is a specialized feeding organ used to scrape material off of a substrate for ingestion , much like a chese grater scrapes off a block of cheese. Snails, which have this structure,  are thus which kind of feeder?",Multiple Choice,Suspension feeder,Fluid feeder,Deposit feeder,Mass feeder,,4,
2007,Comb jellies are critical in the food chain because they make up a significant portion of the planktonic biomass. Their feeding strategy is predatory and involves trapping small organisms floating in the water using adhesives or mucus on their tentacles or other body parts. What feeding tactic do these animals use?,Multiple Choice,Suspension feeder,Fluid feeder,Deposit feeder,Food-mass feeder,,1,
2008,Due to its unusual habitat (inside the digestive tracts of other animals) the tapeworm lacks a __.,Multiple Choice,reproductive system,mouth,digestive tract,mouth and a digestive tract,reproductive and digestive system,4,
2009,Given the data outlined in the accompanying table what would you expect to happen if researchers supplied an enzyme that blocked the expression of the Dll gene to an Arthropod embryo?,Multiple Choice,The embryo would have appendages in abnormal locations.,The origins of the embryo’s appendages would fluoresce.,The developing embryo would have no appendages.,The embryo’s appendages would be shorter than usual.,,3,/static/images/q2009.png
2010,"Dll is a gene known to direct limb development in the fruit fly. Researchers studying this gene have found that it is also expressed in developing appendages in animals from many other phyla, supporting the hypothesis that all animal appendages may be homologous. However, consider the data shown in the preceding table. These results suggest instead that",Multiple Choice,Dll is not actually involved in appendage development,appendages evolved separately in protostomes and deuterostomes,appendages coevolved with segmentation,all animal appendages are homologous,,2,/static/images/q2010.png
2011,"To reproduce, many plants produce seed structures containing embryonic offspring along with nutrients inside a tough case. These offspring develop after being released by the parent plant. To which animal reproductive strategy is seed production most comparable?",Multiple Choice,Oviparous reproduction,Viviparous reproduction,,,,1,
2012,"Use the following information to answer the question below.

Trichoplax adhaerens (Tp) is the only living species in the phylum Placozoa. Individuals are about 1 mm wide and only 27 ?m high, are irregularly shaped, and consist of a total of about 2000 cells, which are diploid (2n = 12). There are four types of cells, none of which are nerve or muscle cells, and none of which have cell walls. They move using cilia, and any edge can lead. Tp feeds on marine microbes, mostly unicellular green algae, by crawling atop the algae and trapping it between its ventral surface and the substrate. Enzymes are then secreted onto the algae, and the resulting nutrients are absorbed. Tp sperm cells have never been observed, nor have embryos past the 64-cell (blastula) stage.

Tp’s body structure seems to be most like that of",Multiple Choice,most sponges,cnidarians,worms,tetrapods,,1,
2013,Sponges __.,Multiple Choice,have larvae which are motile and move via the motion of cilia,are the simplest diploblastic animals,exhibit bilateral symmetry,have a nerve net but not a central nervous system,have feeding cells called spicules,1,
2014,All sponges___.,Multiple Choice,have three germ layers,are free swimming as adults,reproduce only asexually,are parasitic,are sessile and benthic as adults,5,
2015,Sponges are most accurately described as __.,Multiple Choice,marine predators,chemoautotrophs,freshwater scavengers,suspension feeders,aquatic predators,4,
2016,Ctenophores are well known for their ___.,Multiple Choice,stinging venom in cnidocytes,sticky secretions from colloblasts,suspension feeding,fraction of the detritivore biomass,,2,
2017,"Most cnidarians are known to produce neurotoxins that paralyze and subdue their prey. In fact, it has been claimed that one particular species produces the most deadly of all toxins on the planet. What feature of this group most likely evolved simultaneously with the evolution of these toxins?",Multiple Choice,The medusa body form,Asexual reproduction,A slow-moving or sessile lifestyle in the adult,Diploblastic design,Bilateral symmetry in the mobile larval forms,3,
2018,How many of the following are characteristics of at least some members of the phylum Cnidaria? 1. A gastrovascular cavity 2. A polyp stage 3. A medusa stage 4. Cnidocytes 5. A pseudocoelom,Multiple Choice,1,2 and 3,3 4 and 5,1 2 3 and 4,1 and 2,4,
2019,"Use the following information to answer the question below.

Clownfish readily swim among tentacles of sea anemones; parrotfish avoid them. One hypothesis for the clownfish’s apparent immunity is that they slowly build a tolerance to the sea anemone’s toxin. A second hypothesis is that a chemical in the mucus that coats the clownfish prevents the nematocysts from being triggered. Which of the following graphs supports the second, but NOT the first, of these hypotheses?",Multiple Choice,Graph A,Graph B,Graph C,Graph D,,3,/static/images/q2019.png
2020,Which of these phylogenetic trees correctly highlights the most recent common ancestor of the bilaterians?,Multiple Choice,Tree A,Tree B,Tree C,Tree D,,3,/static/images/q2020.png
2021,The dot represents the most recent common ancestor of the Ctenophora and the Ecdysozoa.,True/False,TRUE,FALSE,,,,1,/static/images/q2021.png
2022,The Porifera are a sister group to all other animals.,True/False,TRUE,FALSE,,,,1,
2023,The Ctenophora are ancestors of the Cnidaria.,True/False,TRUE,FALSE,,,,2,
2024,Deuterostomes are the ancestors of Lophotrochozoa and Ecdysozoa.,True/False,TRUE,FALSE,,,,2,
2025,Which of the body plan characteristics below also contributes to an animal’s ability to move from place to place? 1. Cephalization 2. Coelom 3. Bilateral symmetry 4. Presence of ectoderm 5. Centralized nervous system,Multiple Choice,1 2 and 3,1 3 and 5,1 2 3 4 and 5,1 2 3 and 5,2 and 3,4,
