Question ID,Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Image
1788,Imagine that there are 25 different species of protists living in a tide pool... The pool gradually becomes infested with disease-causing viruses and bacteria. Which species are more likely to thrive in the changing environment?,Multiple Choice,The sexually reproducing species,The asexually reproducing species,Sexually and asexually reproducing species are equally likely to thrive.,,,1,
1789,Alternation of generations occurs in some protists. Which of the following represents the correct sequence of events for this mode of reproduction?,Multiple Choice,Gametophyte -> gamete -> fusion -> sporophyte -> spore -> gametophyte,Sporophyte -> spore fusion -> gametophyte -> gamete -> sporophyte,Gametophyte -> fusion -> sporophyte -> spore -> gamete -> gametophyte,Gamete -> fusion -> gametophyte -> spore -> sporophyte -> gamete,,1,
1790,"Consider the following points: (a) many excavates live in environments where oxygen availability is low; (b) many excavates lack mitochondria; and (c) all excavates have some mitochondrial genes. Based on this information, which of the following statements is TRUE of the excavate lineage?",Multiple Choice,Their ancestors were eukaryotes that existed prior to the origin of mitochondria.,Their ancestors had mitochondria but the mitochondria were lost over time in some lineages.,Their ancestors were not able to metabolize glucose.,Excavates are in the process of acquiring mitochondria through evolutionary adaptation.,,2,
1791,"According to the endosymbiotic theory, why was it adaptive for the larger (host) cell to keep the engulfed cell alive, rather than digesting it as food?",Multiple Choice,The engulfed cell provided the host cell with adenosine triphosphate (ATP).,The engulfed cell provided the host cell with carbon dioxide.,The engulfed cell allowed the host cell to metabolize glucose.,The host cell was able to survive anaerobic conditions with the engulfed cell alive.,The host cell would have been poisoned if it had digested the engulfed cell.,1,
1792,The genome of mitochondria most closely resembles which lineage?,Multiple Choice,Archaea,Bacteria,Animals,Plants,,2,
1793,Which characteristics of mitochondria support endosymbiotic theory?,Multiple Choice,"Mitochondria replicate by fission, as do bacterial cells.",Mitochondria have their own ribosomes and manufacture some of their own proteins.,Mitochondria are similar in size to alpha-proteobacteria.,Mitochondria have double membranes.,All of these characteristics of mitochondria support endosymbiotic theory.,5,
1794,Assume that some members of an aquatic species of motile photosynthetic protists evolve to become parasitic to fish... Over time which of the following phenotypic changes would you expect to observe in this population of protists?,Multiple Choice,Loss of motility,Loss of chloroplasts,Gain of a rigid cell wall,Gain of meiosis,No changes would be expected.,2,
1795,How did mitochondria originate?,Multiple Choice,"From infoldings of the plasma membrane, coupled with mutations of genes for proteins in energy-transfer reactions","From engulfed, originally free-living proteobacteria",By secondary endosymbiosis,From the nuclear envelope folding outward and forming mitochondrial membranes,,2,
1796,Which of the following was derived from an ancestral cyanobacterium?,Multiple Choice,Chloroplast,Mitochondrion,Flagella,Mitosome,,1,
1797,In the process of alternation of generations the _______.,Multiple Choice,sporophyte is haploid and produces gametes,sporophyte is diploid and produces spores,gametophyte is haploid and produces spores,gametophyte is diploid and produces gametes,spores unite to form a zygote,2,
1798,Which arrow would be the best choice for completing this protist (diatom) life cycle?,Multiple Choice,Arrow N,Arrow O,Arrow P,Arrow Q,,2,/static/images/q1798.png
1799,Which arrow would be the best choice for completing this protist (dinoflagellate) life cycle?,Multiple Choice,Arrow R,Arrow S,Arrow T,Arrow U,,4,/static/images/q1799.png
1800,Interpret the model: This life cycle does not have a multicellular stage.,True/False,TRUE,FALSE,,,,1,/static/images/q1800.png
1801,Interpret the model: The arrow labeled A represents meiosis.,True/False,TRUE,FALSE,,,,2,/static/images/q1800.png
1802,Interpret the model: This life cycle shows asexual reproduction.,True/False,TRUE,FALSE,,,,1,/static/images/q1800.png
1803,Interpret the model: This life cycle is not useful because it does not show lifelike drawings of the different stages.,True/False,TRUE,FALSE,,,,2,/static/images/q1800.png
1804,Interpret the model: The cells on the right are genetically identical to the cell on the left.,True/False,TRUE,FALSE,,,,1,/static/images/q1800.png
1805,Interpret the model: The cells on the right are gametes.,True/False,TRUE,FALSE,,,,2,/static/images/q1800.png
1806,Interpret the model: The arrow labeled B represents maturation.,True/False,TRUE,FALSE,,,,1,/static/images/q1800.png
1807,Interpret the model: The diploid stages are dominant in this life cycle.,True/False,TRUE,FALSE,,,,2,/static/images/q1800.png
1808,All protists _______.,Multiple Choice,contain a nucleus,contain a mitochondria,are unicellular,have a cell wall,are photosynthetic,1,
1809,Which of the following protist lineages is appropriately paired with its supportive and/or protective structure?,Multiple Choice,"Diatoms have an intricate, chalky, chambered calcium carbonate shell.","Euglenoids have an internal support rod, made of cross-linked microtubules, that runs the length of the cell.",Alveolates have tough plates in the cell wall that are made up of cellulose.,Euglenoids cover themselves with tiny pebbles.,"Dinoflagellates are surrounded by a glass-like, silicon dioxide cell wall.",2,
1810,You discover a new species of protist. Which of the following characteristics would provide the strongest evidence for your hypothesis that your species belongs in Euglenida?,Multiple Choice,It is photosynthetic.,It has a pellicle just under the plasma membrane.,It is unicellular.,It lacks a cell wall.,,2,
1811,In examining a protist you notice that it lacks a cell wall and has movement with cytoplasmic streaming. These data allow you to infer that the species belongs to which of the following protist groups?,Multiple Choice,Excavata,Stramenopila,Rhizaria,Alveolata,Amoebozoa,5,
1812,One of the fish in your aquarium dies. Adding which protist to the water would allow you to avoid flushing the dead fish by speeding its decay?,Multiple Choice,An apicomplexan,A dinoflagellata,A water mold,A ciliate,,3,
1813,Dinoflagellates _______.,Multiple Choice,have a glass-like cell wall,are all autotrophic,have walls that are usually composed of cellulose plates,have a feeding groove,include species that cause malaria,3,
1814,You are given an unknown organism to identify. It is unicellular and heterotrophic. It is motile using many short extensions of the cytoplasm. It has well-developed organelles and two nuclei one large and one small. This organism is most likely to be a _______.,Multiple Choice,foraminiferan,diatom,ciliate,dinoflagellate,slime mold,3,
1815,Which question would be most important for one interested in the day-to-day survival of individual diatoms?,Multiple Choice,How does carbon dioxide get into these protists with their glass-like valves?,How do diatoms get transported from one location on the waterâ€™s surface layers to another location on the surface?,How do diatoms with glass-like valves keep from sinking into poorly lit waters?,How do diatoms with glass-like valves avoid being shattered by the action of waves?,How do diatom sperm cells locate diatom egg cells?,3,
1816,Amoeboid movement via long slender pseudopodia is characteristic of _______.,Multiple Choice,foraminiferans,water molds,dinoflagellates,oomycetes,,1,
1817,A snail-like coiled porous test (shell) of calcium carbonate is characteristic of _______.,Multiple Choice,diatoms,foraminiferans,ciliates,water molds,,2,
1818,Which of the following is NOT a producer?,Multiple Choice,Green algae,Dinoflagellate,Apicomplexan,Diatom,Euglenid,3,
1819,Healthy individuals of Paramecium bursaria contain photosynthetic algal endosymbionts... Which of the following situations would be most favorable to the reestablishment of resident zoochlorellae...?,Multiple Choice,"Abundant light, no bacterial prey","Abundant light, abundant bacterial prey","No light, no bacterial prey","No light, abundant bacterial prey",,2,
1820,Which of the following best describes the leading hypothesis on the origin of the nucleus?,Multiple Choice,The nucleus was formed through endosymbiosis of an archaeon.,The nucleus was formed when the ER surrounded the chromosomes.,The nucleus was formed through infolding of the plasma membrane.,The nucleus was formed through modifications to a mitochondrion.,,3,
1821,Transcriptional regulation in eukaryotes includes processes such as alternative splicing that are not observed in bacteria or archaea. What changes occurred in the eukaryotic cell to make alternative splicing possible?,Multiple Choice,Spatial separation of transcription and translationâ€”transcription occurs in the nucleus and translation occurs in the cytoplasm.,Spatial separation of transcription and translationâ€”transcription occurs in the cytoplasm and translation occurs in the nucleus.,Evolution of the eukaryotic 80s ribosome enabled more efficient translation.,A shift from linear chromosomes in bacteria to circular chromosomes in eukaryotes.,,1,
1822,In the past decade many new species of eukaryotic â€œpicoplanktonâ€ have been discovered. What technique has enabled their discovery?,Multiple Choice,Deep sequencing of lab-grown cultures,Direct sequencing of environmental samples,Improved transmission electron microscopy approaches,Improved scanning electron microscopy approaches,,2,
1823,You are examining a sample of seawater under the microscope and observe two different species utilizing amoeboid movement. What can you conclude about these species?,Multiple Choice,They are members of the Amoebozoa clade.,Their mechanism of movement must be a homologous feature.,They are likely closely related due to their similar cellular morphology.,Additional data from more detailed observations of cellular structures or DNA sequence information would be required before drawing conclusions.,,4,
1,Which Of The Following Protists Causes The Human Disease Malaria?,Multiple Choice,Giardia,Plasmodium,Trichomonas,Leishmania,,2,
2,Encouraging The Growth (Via Nutrient Fertilization) Of Photosynthetic Protists In Marine Environments May Help Reduce Global Warming. Why?,Multiple Choice,"Photosynthetic Protists Give Off A Lot Of Carbon Dioxide, And Fertilizing Them Would Increase Carbon Dioxide Levels In The Atmosphere.","Photosynthetic Protists Fix Atmospheric Carbon Dioxide, Decreasing Carbon Dioxide Levels In The Atmosphere.","Photosynthetic Protists Use A Lot Of Oxygen, And Fertilizing Them Would Decrease Oxygen Levels In The Environment.","Photosynthetic Protists Would Release A Lot Of Oxygen, And Fertilizing Them Would Increase Levels Of Oxygen In The Atmosphere.",,2,
3,How Are Algal Blooms (Red Tides) Typically Harmful To Humans?,Multiple Choice,The Blooms Destroy Shellfish And Other Food Sources For Humans.,Shellfish Eat The Harmful Algae And Humans Eat The Contaminated Shellfish.,Humans Can Become Poisoned When Swimming In Contaminated Water.,All Of The Above Answers Apply.,,4,
4,"Phytoplankton Is Comprised Of Photosynthetic Protists And Bacteria. For The Most Part, Humans Do Not Consume Phytoplankton. Why, Then, Are They Important To Humans?",Multiple Choice,They Are Food For Many Marine Organisms That Humans Eat.,They Release A Lot Of Carbon Dioxide Into The Atmosphere.,They Cause Serious Illness In Humans.,They Are Not Important To Humans.,,1,
5,Which Of The Following Statements Is Consistent With The Assertion That Protists Are Paraphyletic?,Multiple Choice,The Common Ancestor Of All Protists Evolved Into Other Eukaryotic Groups.,Protists All Share A Common Set Of Synapomorphies.,Protists Are All More Primitive Than Land Plants And Animals.,Protists Do Not Share A Single Common Ancestor.,All Of The Above Answers Apply.,1,
6,"You Isolate A Previously Undescribed Protist Species From The Soil Outside Your Residence. Which Of The Following Technique(S) Would Provide Useful Data For Describing, Classifying, And Naming This New Species?",Multiple Choice,PCR,Light Microscopy,Gene Sequence Comparison,Electron Microscopy,All Of The Above,5,
7,Which Of The Following Would Be Considered A Carbon Sink That Could Potentially Reduce Atmospheric Carbon Dioxide To Help Alleviate Global Warming?,Multiple Choice,Calcium Carbonate,Petroleum,Sedimentary Rocks,All Of The Above,,4,
8,Which Of The Following Characteristics Is True Of All Protists?,Multiple Choice,Contain A Nucleus,Smaller Than Animal Cells,Unicellular,Have A Cell Wall,Photosynthetic,1,
9,According To The Phylogenetic Tree In The Figure Above Giardia Intestinalis Constitutes A _____ Group.,Multiple Choice,Paraphyletic,Monophyletic,Polyphyletic,,,1,/static/images/q9.png
10,By Examining The Phylogenetic Tree Diagrammed Above What Conclusion Can You Draw About The Species G. Microti?,Multiple Choice,It Evolved Before G. Intestinalis.,It Is More Closely Related To G. Muris Than To G. Intestinalis.,It Should Not Be Labeled A Species Distinct From G. Intestinalis.,It Is Part Of A Monophyletic Group That Also Includes G. Intestinalis.,None Of The Above Can Be Concluded From The Data Provided.,4,/static/images/q9.png
11,Consider The Following Data: (A) Most Ancient Eukaryotes Are Unicellular. (B) All Eukaryotes Alive Today Have A Nucleus And Cytoskeleton. (C) Most Ancient Eukaryotes Lack A Cell Wall. Which Of The Following Conclusions Could Reasonably Follow The Data Presented?,Multiple Choice,The First Eukaryote May Have Been Very Similar To A Plant Cell.,The First Eukaryote May Have Been Anaerobic.,The First Eukaryote May Have Been Capable Of Phagocytosis.,The First Eukaryote May Have Been Photosynthetic.,,3,
12,Which Of The Following Statements Best Describes The Term Synapomorphy?,Multiple Choice,A Trait That Is Shared By More Than One Monophyletic Group.,"A Trait Common In A Single Monophyletic Group, But Not Generally Found Outside Of That Group.",The State Of Having Several Traits In Common With Different Monophyletic Groups.,A Trait That Evolved In Several Different Monophyletic Groups Simultaneously.,,2,
13,"According To The Endosymbiotic Theory, Why Was It Adaptive For The Larger (Host) Cell To Keep The Engulfed Cell Alive, Rather Than Digesting It As Food?",Multiple Choice,The Engulfed Cell Provided The Host Cell With ATP.,The Engulfed Cell Provided The Host Cell With Carbon Dioxide.,The Engulfed Cell Allowed The Host Cell To Metabolize Glucose.,The Host Cell Was Able To Survive Anaerobic Conditions With The Engulfed Cell Alive.,The Host Cell Would Have Been Poisoned If It Had Digested The Engulfed Cell.,1,
14,Which Of The Following Movements Are Matched Correctly With The Appendage That Facilitates That Movement In Protists?,Multiple Choice,Cell Crawling; Flagella,Swimming; Pseudopodia,Cell Crawling; Cilia,Swimming; Flagella,,4,
15,Refer To The Figure Above And Consider The Following Data: Brown Algae (Protists) Include Unicellular And Multicellular Organisms... Which Of The Following Conclusions Is Consistent With The Data Presented?,Multiple Choice,Multicellularity Is A Synapomorphy That Defines A Eukaryote.,"Multicellularity Evolved Once; Thus, Animals Are Derived From The Most Recently Evolved Protists.",Multicellularity Evolved Multiple Times As Eukaryotes Diversified.,Multicellularity Is More Adaptive Than Unicellularity.,None Of The Above Answers Apply.,3,/static/images/q15.png
16,A Particular Species Of Protist Lacks The Ability To Engulf Food And Does Not Contain Chloroplasts. However Gene Sequencing Data Indicate That This Species Evolved From A Lineage Containing Many Species With The Ability To Engulf Food. What Does This Information Suggest About This Species Of Protist?,Multiple Choice,It Probably Reproduces Asexually.,It Is Likely Parasitic.,It Is Likely Aquatic.,It Probably Eats Bacteria.,,2,
17,A Particular Species Of Protist Has Obtained A Chloroplast Via Secondary Endosymbiosis. How Can You Tell?,Multiple Choice,The Chloroplasts Have Both Nuclear And Cyanobacterial Genes.,The Chloroplasts Are Exceptionally Small.,The Chloroplasts Have Three Or Four Membranes.,The Chloroplasts Have Only A Single Pigment.,,3,
18,Imagine There Are 25 Different Species Of Protists Living In A Tide Pool... The Pool Gradually Becomes Infested With Disease-Causing Viruses And Bacteria. Which Species Are More Likely To Thrive In The Changing Environment?,Multiple Choice,The Sexually Reproducing Species,The Asexually Reproducing Species,,,1,,
19,The Structure Of Protist Flagella Indicates That This Structure Evolved Directly From The Bacterial Flagella.,True/False,TRUE,FALSE,,,2,,
20,Which Of The Following Observations About Flagella Is True And Is Consistent With The Scientific Conclusion That The Flagella From Protists And Bacteria Evolved Independently?,Multiple Choice,"Both Flagella Are Made Of The Same Protein, But The Configuration Is Different.","The Mechanics Of Movement And Protein Structure Are The Same In These Flagella, But There Are Significant Genetic Differences.","Although The Mechanism Of Movement In Both Flagella Is The Same, The Protein That Accomplishes The Movement Is Different.",The Protein Structure And The Mechanism Of Movement In Protist Flagella Are Different From Those Of Bacteria Flagella.,,4,
21,Alternation Of Generations Occurs In Protists. Which Of The Following Represents The Correct Sequence Of Events For This Mode Of Reproduction?,Multiple Choice,Gametophyte -> Gamete -> Fusion -> Sporophyte -> Spore -> Gametophyte,Sporophyte -> Spore Fusion -> Gametophyte -> Gamete -> Sporophyte,Gametophyte -> Fusion -> Sporophyte -> Spore -> Gamete -> Gametophyte,Gamete -> Fusion -> Gametophyte -> Spore -> Sporophyte -> Gamete,,1,
22,The Dinoflagellate Pfiesteria Piscicida Can Feed Off Algae And Bacteria... How Would You Classify This Species?,Multiple Choice,Predator,Primary Producer,Detritivore,All Of The Above,A And C Only,4,
23,Assume That Some Members Of An Aquatic Species Of Motile Photosynthetic Protists Evolve To Become Parasitic To Fish... Which Of The Following Phenotypic Changes Would You Expect To Observe In This Population Of Protists?,Multiple Choice,Loss Of Motility,Loss Of Chloroplasts,Gain Of A Rigid Cell Wall,Gain Of Meiosis,No Changes Would Be Expected,2,
24,"Latrunculin A Is A Reversible Toxin That Disrupts The Formation Of Actin Fibers. A Culture Of A Particular Species Of Diatom Was Treated With This Toxin Diluted In A Buffer, While Another Culture Was Treated Only With The Buffer (No Toxin; Control). The Motility Of Cells In Each Culture Was Assessed By Counting The Number Of Cells That Were Moving During A Defined Period Of Time. Which Of The Following Conclusion Statements Is Reasonable Based On The Data In The Bar Graph Presented Below?",Multiple Choice,Formation Of Actin Fibers Is Not Necessary For The Movement In This Species Of Diatom.,The Buffer Alone Largely Inhibited Movement In This Species Of Diatom.,"In This Species Of Diatom, Fully Formed Actin Fibers Are Necessary For Movement.",,,3,/static/images/q24.png
25,The Data Graphed In Figure 29.3 Could Be An Artifact If Latrunculin A Kills This Species Of Diatoms... Which Of The Following Would Be The Best Evidence That Latrunculin A Is Not Killing The Cells?,Multiple Choice,"When The Toxin Was Washed Off The Culture, The Cells Began To Move Again.",There Were Still A Small Percentage Of Motile Cells In The Culture Treated With The Toxin.,"Most Of The Cells In The Control Were Moving, Indicating That They Were Alive.","When The Toxin Was Applied To Another Species Of Diatom, 25% Of Them Continued To Move.",,1,/static/images/q24.png
26,Cultures Of The Same Species Of Diatom Referred To In The Previous Question Were Treated With BDM... Which Of The Following Predictions Is Consistent With The Hypothesis That An Actin-Myosin Interaction Is Necessary For Motility?,Multiple Choice,BDM Will Significantly Decrease Motility Of The Cells In Culture.,BDM Will Not Significantly Alter Motility Of The Cells In Culture.,BDM Will Significantly Increase Motility Of The Cells In Culture.,,,1,/static/images/q24.png
27,"Consider The Following Points: (A) All Excavates Live In Environments Where Oxygen Availability Is Low; (B) All Excavates Lack Mitochondria; And (C) All Excavates Have Some Mitochondrial Genes. Based On This Information, Which Of The Following Statements Is True Of The Excavate Lineage?",Multiple Choice,Their Ancestors Were Eukaryotes That Existed Prior To The Origin Of Mitochondria.,"Their Ancestors Had Mitochondria, But The Mitochondria Were Lost Over Time.",Their Ancestors Were Not Able To Metabolize Glucose.,Excavates Are In The Process Of Acquiring Mitochondria Through Evolutionary Adaptation.,,2,
28,You Discover A New Lineage Of Protists... You Decide To Name This New Lineage Spherocristata. What Is The Distinctive Feature That Is Reflected In The Name?,Multiple Choice,A Perfectly Round Nucleus,Spherical Cristae Within Their Mitochondria,Flagella That Beat In A Circle,Spherical Thylakoids Within Their Chloroplasts,Perfectly Round Lysosomes,2,
29,The Manufacture Of Which Of The Following Products Involves Using Materials That Once Belonged To A Protist?,Multiple Choice,Cosmetics,Filters,Chalk,Marble,All Of The Above,5,
30,Which Of The Following Groups Is Matched With An Incorrect Anatomical Feature?,Multiple Choice,Foraminifera -> Tests With Holes,Dinoflagellata -> Two Flagella,Oomycota -> Apical Complex,Diatoms -> Silicon-Rich Tests,Phaeophyta -> Exclusively Multicellular,3,/static/images/q30.png
31,Protists Belong To The Domain Eukarya. Which Of The Following Is Not A Protist?,Multiple Choice,Kelp,Red Algae,Yeast,Diatoms,,3,
32,Which Of The Following Best Describes What Scientists (The Bell Research Group) Concluded About The Effect Of Atmospheric CO2 Increases On Phytoplankton's Primary Productivity?,Multiple Choice,After 1000 Generations Phytoplankton Showed A Consistent Significant Increase In Primary Productivity.,After 1000 Generations Phytoplankton Showed A Consistent Significant Decrease In Primary Productivity.,After 1000 Generations Phytoplankton Showed A Moderate Increase In Primary Productivity.,After 1000 Generations Phytoplankton Will Not Show An Increase In Primary Productivity.,,3,
33,How Was Primary Productivity Measured In The Phytoplankton Experiment?,Multiple Choice,Net CO2 Uptake,The Number Of Cells Produced,Net CO2 Production,Accumulation Of Mutations,,1,
34,"What Is Meant By The Term """"High-Selected"""" Lines In The Phytoplankton Experiment?",Multiple Choice,Lines Of Phyloplankton That Had Strong Environmental Selection Pressures,Lines Of Phytoplankton That Were Grown In High CO2 Conditions Compared To Other Phytoplankton Lines,Lines Of Phytoplankton That Were Allowed To Grow At A Faster Rate Than Other Lines Of Phytoplankton,All Of The Above.,Both A And B.,5,
35,"Which Of The Major Lineages Of Eukaryotes Contain Pronounced """"Feeding Grooves"""" For Digesting Prey Or Organic Debris?",Multiple Choice,Plantae,Excavata,Alveotata,Rhizaria,,2,
36,What Is The Major Distinguishing Feature Of Amoebozoa?,Multiple Choice,Cells Have Chloroplasts With A Double Membrane.,"Cells Lack Cell Walls And So, When Portions Of The Cell Extend For Movement, Large Lobes Are Formed.","Cells Lack Cell Walls And So, When Portions Of The Cell Extend For Movement, They Are Slender In Shape.","Cells Have Pronounced ""Feeding Grooves"" For Digesting Prey Or Organic Debris.",,2,
Problem 1,Why are protists considered paraphyletic?,MCQ,"They include many extinct forms, including lineages that no longer have any living representatives.",They include some but not all descendants of their most recent common ancestor.,They represent all of the descendants of a single common ancestor.,"Not all protists have all of the synapomorphies that define the Eukarya, such as a nucleus.",,2,
Problem 2,The most important primary producers in marine ecosystems are ________.,FILL_IN,diatoms,,,,,1,
Problem 3,Amoeboid motion is common in species with cell walls.,TRUE_FALSE,TRUE,FALSE,,,,2,
Problem 3,Some protists use flagella to swim.,TRUE_FALSE,TRUE,FALSE,,,,1,
Problem 3,"Some protists use cilia to swim, which are shorter and more numerous than flagella.",TRUE_FALSE,TRUE,FALSE,,,,1,
Problem 3,Amoeboid motion requires ATP and interactions between the proteins actin and myosin.,TRUE_FALSE,TRUE,FALSE,,,,1,
Problem 4,How can dinoflagellates be harmful to humans?,MCQ,They are transmitted by mosquitoes and cause malaria.,"They produce toxins that can be absorbed by clams and other shellfish which, when eaten by people, can lead to paralytic shellfish poisoning.",They cause amoebic dysentery which leads to severe diarrhea and dehydration.,They are transmitted by tsetse flies and cause “sleeping sickness.”,,2,
Problem 5,Explain the logic behind the claim that the nuclear envelope is a synapomorphy that defines eukaryotes as a monophyletic group.,SHORT_ANSWER,"All living eukaryotes have a nuclear envelope, so their common ancestor likely did too; bacteria and archaea lack it, so it likely arose in the common ancestor of eukaryotes.",,,,,1,
Problem 6,Consider the endosymbiosis theory for the origin of the mitochondrion. How did each endosymbiotic partner benefit from the relationship?,SHORT_ANSWER,Host provided protection and carbon compounds; endosymbiont provided increased ATP from those carbon compounds.,,,,,1,
Problem 7,Why was finding a close relationship between mitochondrial DNA and bacterial DNA considered particularly strong evidence in favor of the endosymbiosis theory?,SHORT_ANSWER,It confirmed a key prediction of the hypothesis and is not well explained by alternative hypotheses.,,,,,1,
Problem 8,The text claims that protist evolutionary history can be understood as morphological innovations forming seven distinct lineages that later diversified. Explain how the Alveolata support this claim.,SHORT_ANSWER,"All alveolates share alveoli (a unique supportive structure), but they diversified in feeding (ingestive/photosynthetic/parasitic) and movement (cilia/flagella/amoeboid-type).",,,,,1,
Problem 9,Plasmodium has an apicoplast derived from chloroplasts via secondary endosymbiosis; glyphosate poisons an enzyme located in chloroplasts; biologists are testing glyphosate as an antimalarial. How are these observations connected?,SHORT_ANSWER,"If the apicoplast is chloroplast-like, glyphosate may poison the apicoplast and kill Plasmodium; humans lack chloroplasts, so it could be selective if no other harmful effects occur.",,,,,1,
