Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time in seconds,Image Link,Answer explanation
Two populations of birds with somewhat different coloration live on opposite sides of a peninsula. The habitat between the populations is not suitable for these birds. When birds from the two populations are brought together they produce young whose appearance is intermediate between the two parents. These offspring will breed with each other or with birds from either parent population and all offspring of these pairings appear intermediate to various degrees. What keeps the two populations separate?,Multiple Choice,Temporal reproductive isolation,Lack of hybrid viability,Gametic barrier,Spatial reproductive isolation,Behavioral reproductive isolation,4,,,
The two populations [described in Question 1] are _______.,Multiple Choice,Different subspecies under the morphospecies concept.,Different species under the biological species concept.,Different species under the phylogenetic species concept.,All of the above.,,1,,,
House finches... were found only in Western North America until 1939... If the two forms [Western and New York] were unable to interbreed when their expanding ranges meet what would this situation illustrate?,Multiple Choice,Vicariance,Allopolyploidy,Autopolyploidy,Allopatric speciation,Sympatric speciation,4,,
Most causes of speciation are relatively slow in that they may take many generations of organism to see changes EXCEPT _______.,Multiple Choice,Polyploidy,Vicariance,Colonization,Natural selection,,1,,
Two researchers experimentally formed tetraploid frogs... When they mated these tetraploid frogs with each other most of the offspring that survived to maturity were tetraploid... If this type of tetraploid formed in the wild what would be the result?,Multiple Choice,The two parent species would interbreed and fuse into one species.,The two parent species would recognize each other as mates.,The tetraploids would be reproductively isolated from both parent species.,The tetraploids would be selected against.,All of the above answers are correct.,3,,
Why is speciation by polyploidy more likely in plants than in animals?,Multiple Choice,Plant gametes can be produced from somatic cells that have undergone many rounds of mitosis.,Plant gametes lack postzygotic isolating mechanisms.,Plants lack the DNA repair enzymes that animals have.,Plants are sessile and cannot speciate via dispersal.,,1,,
Which of the following statements explains why animals are less likely than plants to speciate by polyploidy?,Multiple Choice,"Animals self-fertilize less often than plants, so diploid gametes are less likely to fuse.",Animals have better mechanisms for repairing chromosomes than plants have.,Animals are better at recognizing appropriate mates.,"Animals are more mobile, so populations get separated far less often.",,1,,
If a plant species with 2n = 14 forms an allopolyploid with a plant species with 2n = 18 what would be the likely diploid (2n) number of the allopolyploid?,Multiple Choice,16,28,32,36,,3,,
A small number of birds arrive on an island from a neighboring larger island... About twice a year one or two more birds from the neighboring island arrive. What effect do these new arrivals have?,Multiple Choice,Their arrival speeds the process of speciation.,Their arrival tends to promote adaptation to the new food plants.,Their arrival tends to retard adaptation to the new food plants.,Their arrival represents a colonizing event.,,3,,
A researcher notices that in a certain moth species some females prefer to feed and lay eggs on domesticated solanaceous plants... Other females prefer to feed and lay eggs on wild solanaceous plants... What might be occurring in this moth species?,Multiple Choice,Divergence in sympatry,Divergence due to vicariance,Postzygotic isolation,Polyploidization,,1,,
You are studying lizards in the field... You find hybrids in the zone of overlap. What is happening?,Multiple Choice,Reinforcement is occurring.,The postzygotic isolating mechanisms aren't working.,Hybrids are best adapted to this region where overlap occurs.,There is not enough information to decide what is happening.,,4,,
A storm brings two formerly separated populations of beetles together... Under the biological species concept which of the following would show that the two populations are different species?,Multiple Choice,"One population breeds in spring, the other in fall.",Males of the two populations have different flight patterns in courtship.,"When individuals from the two populations mate with each other in the laboratory, the eggs fail to hatch.",All of the above are correct.,None of the above are correct.,4,,
The common edible frog of Europe is a hybrid... Both male and female hybrids exist but when they mate among themselves they are rarely successful in producing offspring. What can you infer from this information?,Multiple Choice,Postzygotic isolation exists between the two frog species.,Prezygotic isolation exists between the two frog species.,These two species are likely in the process of fusing back into one species.,The hybrids form a separate species under the biological species concept.,,1,,
Male frogs give calls... If reinforcement of prezygotic isolation is occurring what would you expect if you compare the calls of the two species in zones of sympatry versus zones of allopatry?,Multiple Choice,Calls would be about the same in both areas.,Calls would be more similar in areas of sympatry.,Calls would be more different in areas of sympatry.,There is not enough information to decide what is happening.,,3,,
Male frogs give calls... What outcomes can occur where the ranges of two species overlap?,Multiple Choice,"The species will interbreed, eventually fusing over time.",A stable hybrid zone will form if hybrids are better adapted to the area of overlap than either parent species is.,Species will continue to diverge and be isolated by behavioral or genetic mechanisms.,All of the above are possible outcomes.,None of the above are a possible outcome.,4,,
Two species of tree frogs that live sympatrically in the Northeastern United States differ in ploidy... The frogs are identical in appearance but their mating calls... differ. Which difference most likely evolved first?,Multiple Choice,Polyploidy,Difference in mating calls,A and B must have occurred at the same time.,,,1,,
Natural selection for traits that keep distinct populations from reproducing with each other is called reinforcement. When is reinforcement beneficial?,Multiple Choice,When populations would otherwise fuse over time,When hybrids have lower fitness than either parent population,When prezygotic isolating mechanisms are in place,When one population could be overwhelmed by the other,Reinforcement is beneficial under all of the above conditions,2,,
Imagine two North American ground cricket species that contact each other... These two species do not mate much due to differences in their courtship songs. The northern cricket does not seem to tolerate the warmer temperatures well... Which is the most likely outcome?,Multiple Choice,Fusion of the populations,Reinforcement,Hybrid zone formation,Extinction of one of the species,Creation of a new species,4,,
Which of the following evolutionary processes is not acting when two groups of organisms are identified as different species according to the biological species concept?,Multiple Choice,Genetic drift,Natural selection,Mutation,Gene flow,Sexual selection,4,,
Which of the following reproductive barriers would prevent a mating attempt?,Multiple Choice,Behavioural isolation,Mechanical isolation,Hybrid sterility,Gametic isolation,Sexual selection,1,,
Which of the following reproductive barriers would prevent a hybrid zygote from developing into a viable fertile adult?,Multiple Choice,Behavioural isolation,Gametic hybridization,Mechanical isolation,Hybrid sterility,,4,,
You are studying two populations of spiders of the Dolomedes genus... One population lives in a pond while another nearby population lives in the trees. Which of the following species concept would you be using if you determined that these were two different species?,Multiple Choice,Biological,Morphospecies,Phylogenetic,Ecological,,4,,
Which of the following is a disadvantage of the morphological species concept?,Multiple Choice,It cannot be used to evaluate fossils.,It is subjective in nature with differences of opinion that cannot be resolved by data.,"Two groups may use very similar resources, but be evolutionarily independent.",Reliable information exists only for a small number of organisms.,,2,,
Six potential species of seaside sparrows were genetically analyzed... If you could only save two subspecies of the Seaside Sparrows from extinction would you choose two subspecies from the Atlantic Coast two from the Gulf Coast or one each from the Atlantic and Gulf Coasts?,Multiple Choice,Save one each from the Atlantic and Gulf Coasts to preserve more genetic diversity.,"Save two subspecies from the Atlantic Coast, as this coastline is longer and more likely to provide habitat for the birds.","Save two subspecies from the Gulf Coast, as this area is much warmer and birds are more likely to survive.",,,1,,
"Which of the following is ""FALSE regarding speciation?",Multiple Choice,"Once two groups have become physically isolated, natural selection deliberately isolates them reproductively.",Speciation can occur among individuals occupying the same geographic area.,Polyploidy leads to rapid speciation relative to allopatric speciation.,"When populations come back into contact, a hybrid zone is where interbreeding may occur.",,1,,
A population of ground squirrels is separated by a glacier. Changes in which of the following would most likely result in reproductive isolation if the two populations came into contact several generations later?,Multiple Choice,A change in the fur colour of one group.,A change in the diet of one group.,A change in the gene encoding of a receptor on the egg-cell surface in one group.,A change in the alarm call of one group to warn of predators.,,3,,
A species of groundhog spreads through an environmentally varying region... the different populations... accumulate habitat-specific morphological traits. Which of the following is this an example of?,Multiple Choice,Allopatric speciation,Sub-species,Species cluster,Founder effect,,2,,
Several stickleback species live in sympatry... Occasionally the two kinds mate resulting in hybrid offspring. Which of the following is a potential reason for maintenance of these two separate groups despite the occasional hybridization event?,Multiple Choice,Hybrids share traits of both species and thus are specialized and able to hunt well in either environment.,Hybrids share traits of both species and thus are able to attract mates of either species.,Hybrids share traits of both species and thus are not specialized to either environment in terms of hunting.,Hybrids share traits of both species and thus may not have specific traits to attract mates of either species.,Both C and D,5,,
The color code in this model represents genotypes.,"True/""FALSE",1,"""FALSE",,,,1,,
This model shows that evolution is occurring.,"True/""FALSE",1,"""FALSE",,,,1,,
This model shows the origin of a new allele via mutation.,"True/""FALSE",1,"""FALSE",,,,1,,
The allele frequencies of moss on the taller mountain are 0.86A and 0.14a.,"True/""FALSE",1,"""FALSE",,,,2,,
Two populations of birds with somewhat different coloration live on opposite sides of a peninsula. The habitat between the populations is not suitable for these birds. When birds from the two populations are brought together they produce young whose appearance is intermediate between the two parents... What keeps the two populations separate?,Multiple Choice,Temporal reproductive isolation,Lack of hybrid viability,Behavioral reproductive isolation,Habitat isolation,,4,,
Dog breeders maintain the purity of breeds by keeping dogs of different breeds apart when they are fertile. This kind of isolation is most similar to which of the following reproductive isolating mechanisms?,Multiple Choice,Temporal isolation,Mechanical isolation,Habitat isolation,,,4,,
Rocky Mountain juniper and one-seeded juniper have overlapping ranges... Pollen grains from one species are unable to germinate... on the female ovules of the other species. These two juniper species are kept separated by _______.,Multiple Choice,habitat isolation,temporal isolation,gametic isolation,behavioral isolation,,3,,
On the Bahamian island of Andros mosquitofish populations live in various... ponds... When placed together in the same body of water the two kinds of female mosquitofish exhibit exclusive breeding preferences for males that swim in the same manner. Which type of reproductive isolation operates...?,Multiple Choice,Behavioral isolation,Temporal isolation,Gametic isolation,,,1,,
Three populations of crickets look very similar but the males have courtship songs that sound different. What function would this difference in song likely serve if the populations came in contact?,Multiple Choice,A temporal reproductive isolating mechanism,A postzygotic isolating mechanism,A behavioral reproductive isolating mechanism,A gametic reproductive isolating mechanism,,3,,
Two hypothetical species of sparrow A and B overwinter together in mixed flocks in Costa Rica... What can you say about the isolating mechanisms of these two species?,Multiple Choice,They must have strong postzygotic isolating mechanisms to spend winter in such close proximity.,They must have strong prezygotic isolating mechanisms to spend winter in such close proximity.,The winter habitat has no bearing on their degree of reproductive isolation.,Reinforcement must be occurring when they winter together.,,3,,
The common edible frog of Europe is a hybrid... Both male and female hybrids exist but when they mate... they are rarely successful in producing offspring. What can you infer from this information?,Multiple Choice,Postzygotic isolation exists between the two frog species.,Prezygotic isolation exists between the two frog species.,These two species are likely in the process of fusing back into one species.,The hybrids form a separate species under the biological species concept.,,1,,
Two populations of birds... live on opposite sides of a peninsula... When birds from the two populations are brought together they produce young whose appearance is intermediate... The two populations are _______.,Multiple Choice,different subspecies under the morphological species concept,different species under the biological species concept,different species under the phylogenetic species concept,none of the above,,1,,
Refer to the accompanying figure. Which of the following forms a monophyletic group?,Multiple Choice,"A, B, C, and D",C and D,"D, E, and F","E, F, and G",,4,,
The peppered moth... The dark- and light-colored forms readily interbreed with each other... Should the two forms of moths be considered separate species?,Multiple Choice,Yes because natural selection has affected the frequency of the two different forms.,Yes because they have completely different coloration.,"Yes, because they have completely different coloration and natural selection has affected the frequency of the two different forms.",No.,,4,,
Researchers have examined species of snapping shrimp on both sides of the isthmus [of Panama]... The sister populations on opposite sides of the isthmus are true species under which species concept?,Multiple Choice,The biological species concept,The phylogenetic species concept,"The morphological species, biological species, and phylogenetic species concepts",The morphological species concept,,3,,
Which of the following statements about species as defined by the biological species concept is (are) correct? (I. Defined by reproductive isolation II. Used for extinct forms III. All members can potentially interbreed),Multiple Choice,I and II,I and III,II and III,I II and III,,2,,
What does the biological species concept use as the primary criterion for determining species boundaries?,Multiple Choice,Geographic isolation,Niche differences,Gene flow,Morphological similarity,,3,,
On the volcanic equatorial West African island of São Tomé two species of fruit fly exist... Which of the following reduces gene flow between the gene pools of the two species on São Tomé despite the existence of hybrids?,Multiple Choice,Gametic isolation,Reduced hybrid viability,Hybrid sterility,A geographic barrier,,3,,
On the volcanic equatorial West African island of São Tomé two species of fruit fly exist... The observation that island D. yakuba is more closely related to mainland D. yakuba than island D. yakuba is to D. santomea is best explained by proposing that D. santomea _______.,Multiple Choice,descended from a now-extinct non-African fruit fly,arrived on the island before D. yakuba,descended from a single colony of D. yakuba which had been introduced from elsewhere with no subsequent colonization events,"descended from an original colony of D. yakuba, of which there are no surviving members; the current island D. yakuba represents a second colonization event",,4,,
Males of different species of the fruit fly Drosophila that live in the same parts of the Hawaiian Islands have different elaborate courtship rituals. What type of reproductive isolation does this represent?,Multiple Choice,Habitat isolation,Temporal isolation,Behavioral isolation,Gametic isolation,,3,,
Bird guides once listed the myrtle warbler and Audubon’s warbler as distinct species. Recently these birds have been classified as... the yellow-rumped warbler. Which of the following pieces of evidence if TRUE would be cause for this reclassification?,Multiple Choice,"The two forms interbreed often in nature, and their offspring have good survival and reproduction.",The two forms live in similar habitats.,The two forms have many genes in common.,The two forms are very similar in coloration.,,1,,
The Isthmus of Panama... There are currently two large permanent bridges that span the Panama Canal... If snapping shrimp avoid swimming at night and avoid swimming under shadows then what do these bridges represent for the snapping shrimp?,Multiple Choice,Sources of refuge,Geographic barriers,Sources of a hybrid zone between the two bridges,Sources for increased gene flow,,2,,
In a remote region a river system once united a diverse population of a single fish species. However... a massive land formation named Mount Aquarius emerged and divided the river... How does the emergence of Mount Aquarius contribute to allopatric speciation in fish in this scenario?,Multiple Choice,Mount Aquarius enhances gene flow between fish populations.,Mount Aquarius facilitates interbreeding between fish populations.,"Mount Aquarius acts as a physical barrier, leading to the isolation of fish populations.",Mount Aquarius has no impact on fish speciation.,,3,,
Explain allopatric speciation by vicariance in the context of the emergence of Mount Aquarius.,Multiple Choice,"Allopatric speciation occurs when two fish populations are geographically separated, as seen with the emergence of Mount Aquarius, leading to the formation of a new species.","Allopatric speciation occurs when two fish populations share the same habitat, leading to the formation of a new species.",Allopatric speciation occurs when two fish populations are isolated due to behavioral differences.,"Allopatric speciation occurs when two fish populations interbreed, leading to the formation of a new species.",,1,,
Which of the following describes the most likely order of events in allopatric speciation?,Multiple Choice,"Genetic drift, genetic isolation, and divergence","Genetic isolation, divergence, and genetic drift","Divergence, genetic drift, and genetic isolation","Divergence, genetic isolation, and genetic drift","Genetic isolation, genetic drift, and divergence",5,,
Which factors are often associated with speciation events in island-dwelling species such as the Galápagos finches?,Multiple Choice,Dispersal and colonization,Vicariance and colonization,Mutation and dispersal,Hybridization and mutation,,1,,
In a vast lake ecosystem... Recently a unique microhabitat has developed... If speciation occurs what type of speciation and how?,Multiple Choice,The evolution of new fish species due to allopatric speciation by vicariance.,"The evolution of new fish species within the same geographical area, due to sympatric speciation.",The evolution of new species through sexual selection.,The evolution of species through allopatric speciation by dispersal.,,2,,
In a vast lake ecosystem... Recently a unique microhabitat has developed... How does this microhabitat likely contribute to speciation in the fish population?,Multiple Choice,The microhabitat limits gene flow between fish populations.,"The microhabitat acts as a physical barrier, leading to the isolation of fish populations.",The microhabitat facilitates interbreeding between fish populations.,The microhabitat has no impact on fish speciation.,,1,,
There is an island in the middle of a large river that houses a large population of ants. Damming of the river causes the island to flood... The ants cannot swim so are now in multiple isolated populations. Which of the following best describes this event?,Multiple Choice,This situation represents isolation by dispersal.,This situation represents isolation by vicariance.,This situation represents a form of sympatric speciation.,Only a rare development of polyploidy could lead to speciation in this case.,,2,,
A small number of birds arrive on an island from a neighboring larger island... About twice a year one or two more birds from the neighboring island arrive. These new arrivals _______.,Multiple Choice,speed up the process of speciation,tend to promote adaptation to the new food plants,tend to slow adaptation to the new food plants,represent a colonizing event,,3,,
Which of the following could be a vicariance event?,Multiple Choice,"The level of water in a lake recedes, creating two lakes where there used to be one.","Some insects get blown in a storm to a new mountain range, where they lay eggs.","Radiation near Chernobyl increases mutation rates, causing an increase in autopolyploidy.",Global warming allows populations of mosquitoes to survive at higher elevations.,,1,,
Which of the following does NOT tend to promote speciation?,Multiple Choice,The founder effect,Gene flow,Natural selection,Polyploidy,Disruptive selection,2,,
House finches... If the two forms were unable to interbreed when their expanding ranges met it would be an example of _______.,Multiple Choice,prezygotic isolation,reinforcement,allopatric speciation,sympatric speciation,,3,,
Most causes of speciation are relatively slow in that they may take many generations of changes with the exception of _______.,Multiple Choice,polyploidy,reinforcement,colonization,natural selection,,1,,
Two researchers experimentally formed tetraploid frogs... If this type of tetraploid formed in the wild what would be the result?,Multiple Choice,The two parent species would interbreed and fuse into one species.,The two parent species would recognize each other as mates.,The tetraploids would be reproductively isolated from both parent species.,The tetraploids would be selected against.,,3,,
Why is speciation by polyploidy more likely in plants than in animals?,Multiple Choice,Plant gametes can be produced by meiosis from somatic cells that have undergone many rounds of mitosis.,Plant gametes lack postzygotic isolating mechanisms.,Plants are sessile and therefore are never prezygotically isolated to ensure reproduction.,Plants are sessile and cannot speciate via dispersal.,Plants lack the DNA repair enzymes that animals have.,1,,
Which of the following statements explains why animals are less likely than plants to speciate by polyploidy?,Multiple Choice,"Animals self-fertilize less often than plants, so diploid gametes are less likely to fuse.",Animals have better mechanisms for repairing chromosomes than plants have.,"Animals are more mobile, so they have more effective prezygotic isolating mechanisms.","Animals are more mobile, so populations get separated far less often.",Animals use a more rigorous form of meiosis than plants making diploid gametes much more difficult to form.,1,,
A researcher notices that in a certain moth species some females prefer to feed and lay eggs on domesticated solanaceous plants... Other females prefer to feed and lay eggs on wild solanaceous plants... What might be occurring in this moth species?,Multiple Choice,Divergence in sympatry,Divergence due to habitat fragmentation,Postzygotic isolation,Polyploidization,,1,,
In a hypothetical situation a certain species of flea feeds only on pronghorn antelopes... Some of these fleas develop a strong preference for cattle blood... If this situation persists and new species evolve this would be an example of _______.,Multiple Choice,sympatric speciation and habitat isolation,sympatric speciation and temporal isolation,allopatric speciation and habitat isolation,allopatric speciation and gametic isolation,,1,,
Beetle pollinators of a particular plant are attracted to its flowers’ bright orange color... A mutant version of the plant with red flowers becomes more common... A particular variant of the beetle prefers the red flowers... What kind of speciation has occurred...?,Multiple Choice,Allopatric speciation; temporal isolation,Sympatric speciation; habitat isolation,Allopatric speciation; behavioral isolation,Sympatric speciation; allopolyploidy,,2,,
The origin of a new plant species by hybridizing two existing species coupled with accidents during cell division is an example of _______.,Multiple Choice,allopatric speciation and autopolyploidy,sympatric speciation and allopolyploidy,allopatric speciation and allopolyploidy,sympatric speciation and autopolyploidy,,2,,
Plant species A has a diploid number of 12. Plant species B has a diploid number of 16. A new species C arises as an allopolyploid from A and B. The diploid number for species C would probably be _______.,Multiple Choice,12,14,16,28,,4,,
Male frogs give calls that attract female frogs... If reinforcement is occurring what would you expect if you compare the calls of the two species in zones of sympatry versus zones of allopatry?,Multiple Choice,Calls would be more similar in areas of sympatry.,Calls would be more different in areas of sympatry.,None of the above outcomes would be expected.,,,2,,
Male frogs give calls that attract female frogs... What outcomes could possibly occur where the ranges of two species overlap? (I. Fusion II. Stable hybrid zone III. Divergence),Multiple Choice,I,II,III,"I, II, and III",,4,,
Reinforcement is most likely to occur when _______.,Multiple Choice,the environment is changing,hybrids have lower fitness than either parent population,prezygotic isolating mechanisms are in place,gene flow is low,,2,,
The phenomenon of fusion is likely to occur when after a period of geographic isolation two populations meet again and _______.,Multiple Choice,their chromosomes are no longer homologous enough to permit meiosis,an increasing number of infertile hybrids is produced over the course of the next 100 generations,no reproduction occurs in the hybrid zone,an increasing number of viable fertile hybrids is produced over the course of the next 100 generations,,4,,
A hybrid zone is properly defined as _______.,Multiple Choice,"an area where the ranges of two closely related species overlap, but do not interbreed","an area where mating occurs between members of two closely related species, producing viable offspring","a zone where sterile hybrids form, kept separate by postzygotic barriers","an area where members of two closely related species intermingle, but gene flow is prevented by prezygotic barriers",,2,,
On the volcanic equatorial West African island of São Tomé two species of fruit fly exist... If the low number of hybrid flies in the hybrid zone... is due to the fact that hybrids are poorly adapted... these conditions will most likely lead to _______.,Multiple Choice,fusion,reinforcement,stability,further speciation events,,2,,
On the Bahamian island of Andros mosquitofish populations live in various... ponds... What is the best way to promote fusion between two related populations of mosquitofish...?,Multiple Choice,"Build a canal linking the two ponds that permits free movement of mosquitofish, but not of predators.",Transfer only female mosquitofish from a predator-rich pond to a predator-poor pond.,Perform a reciprocal transfer of females between predator-rich and predator-poor ponds.,Remove predators from a predator-rich pond and transfer them to a predator-poor pond.,,1,,
Interpret this phylogenetic tree of several trumpeter species... P. interjecta and P. dextralis are both descendants of a common ancestor symbolized by the area marked 3.,"True/""FALSE",1,"""FALSE",,,,1,,
Interpret this phylogenetic tree... The areas marked 2 and 3 are called nodes.,"True/""FALSE",1,"""FALSE",,,,1,,
Interpret this phylogenetic tree... The areas marked 2 and 3 are called forks.,"True/""FALSE",1,"""FALSE",,,,1,,
Interpret this phylogenetic tree... The vertical line marked 1 shows that speciation occurred very rapidly.,"True/""FALSE",1,"""FALSE",,,,2,,
Interpret this phylogenetic tree... A speciation event occurred at the area marked 2.,"True/""FALSE",1,"""FALSE",,,,1,,
Interpret this phylogenetic tree... The birds represented by the area marked 3 belong to the species P. obscura.,"True/""FALSE",1,"""FALSE",,,,2,,
Which of the following trees represents the same information about speciation rates as in the reference tree...?,Checkbox,Tree A,Tree B,Tree C,Tree D,,"1,2,3,4",,
The approach to estimating phylogenetic trees is most like the approach of which species concept?,Multiple Choice,Morphological species concept,Biological species concept,Phylogenetic species concept,Subspecies concept,,3,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
