Question ID,Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Image
2060,"Use the following information to answer the question(s) below.

Many terrestrial arthropods exchange gases with their environments by using tracheae, tubes that lead from openings (called spiracles) in the animal’s exoskeleton or cuticle directly to the animal’s tissues. Some arthropods can control whether their spiracles are open or closed; opening the spiracles allows carbon dioxide produced in the tissues to travel down the tracheae and be released outside the animal. Klok et al. measured the carbon dioxide emitted over time (represented by VCO?) by several species of centipedes. The figure below presents graphs of their results for two species, Cormocephalus morsitans and Scutigera weberi. (C. J. Klok, R. D. Mercer, and S. L. Chown. 2002. Discontinuous gas exchange in centipedes and its convergence with tracheated arthropods. Journal of Experimental Biology 205: 1019–29.) Copyright 2002 The Company of Biologists and the Journal of Experimental Biology.   Look at the graph for Cormocephalus morsitans in the accompanying figure. What is the best interpretation of these results?",Multiple Choice,The centipede had its spiracles open the entire time.,The centipede had its spiracles closed the entire time.,The centipede had its spiracles open when carbon dioxide (CO2) emission peaked and closed when CO2 emission was low.,The centipede had its spiracles closed when carbon dioxide (CO2) emission peaked and open when CO2 emission was low.,,3,/static/images/q2029.png
2061,"Use the following information to answer the question(s) below.

Many terrestrial arthropods exchange gases with their environments by using tracheae, tubes that lead from openings (called spiracles) in the animal’s exoskeleton or cuticle directly to the animal’s tissues. Some arthropods can control whether their spiracles are open or closed; opening the spiracles allows carbon dioxide produced in the tissues to travel down the tracheae and be released outside the animal. Klok et al. measured the carbon dioxide emitted over time (represented by VCO?) by several species of centipedes. The figure below presents graphs of their results for two species, Cormocephalus morsitans and Scutigera weberi. (C. J. Klok, R. D. Mercer, and S. L. Chown. 2002. Discontinuous gas exchange in centipedes and its convergence with tracheated arthropods. Journal of Experimental Biology 205: 1019–29.) Copyright 2002 The Company of Biologists and the Journal of Experimental Biology.  Look at the graph for Scutigerina weberi (note the scale of the y-axis) in the accompanying figure. What is the best interpretation of these results?",Multiple Choice,The centipede had its spiracles open the entire time.,The centipede had its spiracles closed the entire time.,The centipede had its spiracles open when carbon dioxide (CO2) emission peaked and closed when CO2 emission was low.,The centipede had its spiracles closed when carbon dioxide (CO2) emission peaked and open when CO2 emission was low.,,1,/static/images/q2029.png
2062,How would a terrestrial centipede most likely benefit from the ability to close its spiracles? Closing spiracles would _______.,Multiple Choice,allow the centipede to move more quickly,allow the centipede to retain more moisture in its tissues,allow the centipede to stay warmer,allow more oxygen from the environment to reach the centipede’s tissues,not benefit the centipede at all,2,
2063,What hypothesis can you make about each centipede’s habitat?,Multiple Choice,C. morsitans lives in a habitat that provides more carbon dioxide than does S. weberi.,C. morsitans lives in a habitat with more predators than does S. weberi.,C. morsitans lives in a colder habitat than does S. weberi.,C. morsitans lives in a drier habitat than does S. weberi.,,4,
2064,The possession of two pairs of antennae is a characteristic of _______.,Multiple Choice,spiders,insects,centipedes,millipedes,crustaceans,5,
2065,Whiteflies are common pest insects found on cotton ; tomato ; poinsettia ; and many other plants. Nymphs are translucent and mostly sessile ; feeding on their host plants’ phloem (sap) from the undersides of leaves. They undergo incomplete metamorphosis into winged adults. Because whitefly nymphs cannot escape predation by moving ; you hypothesize that their translucent bodies make them hard to spot by predators. How could you directly test this hypothesis?,Multiple Choice,Compare rates of predation on whitefly nymphs on plant leaves of different colors.,Compare rates of predation on whitefly,Compare rates of predation on whitefly nymphs versus whitefly adults.,Compare rates of predation on whitefly nymphs by predators that are translucent versus predators that are not translucent.,Compare rates of predation on whitefly nymphs feeding on poisonous plants versus those feeding on nonpoisonous plants.,2,
2066,All arthropods _______.,Multiple Choice,1 2 and 4,3 and 5,2 3 4 and 5,1 4 and 5,1 2 and 3,3,
2067,The stingers of honeybees have a function most similar to that of _______.,Multiple Choice,rhinophores,dorsal plumules,cerata,chemoreceptors,,3,
2068,The spiracles and tracheae of insects have a function most similar to that of _______.,Multiple Choice,rhinophores,dorsal plumules,cerata,chemoreceptors,,2,
2069,The antennae of insects have a function most similar to that of _______.,Multiple Choice,rhinophores,dorsal plumules,cerata,chemoreceptors,,1,
2070,What would be the most direct effect of removing or damaging an insect’s antennae? The insect would have trouble _______.,Multiple Choice,hearing,walking,eating,seeing,smelling,5,
2071,Which adaptation is unique to insects among all protostomes?,Multiple Choice,The ability to move via jointed limbs,The ability to move by flying,The ability to live on dry land,The ability to parasitize other organisms,The ability to metamorphose,2,
2072,You find a small arthropod with only eight legs crawling up your bedroom wall. Closer examination will probably reveal that this animal also has _______.,Multiple Choice,simple but not compound eyes,a pair of antennae,a head a thorax and an abdomen,wings,,1,
2073,You see an arthropod with only six legs crawling up a tree trunk. Upon closer inspection you notice that it also has ___.,Multiple Choice,Chelicerae on the head,Two pair of antennae,A body divided into two segments,Compound eyes,,4,
2074,Sarah noticed the presence of many empty exoskeletons attached to emergent vegetation. These exoskeletons looked exactly like those of the largest of the mystery organisms she had seen in the pond. They also looked similar to the bodies of the dragonflies that patrolled the surface of the pond. If Sarah had learned a lot from her college biology class what should she have concluded about the mysterious pond organisms?,Multiple Choice,They are larval dragonflies destined to undergo incomplete metamorphosis.,They are larval dragonflies destined to undergo complete metamorphosis.,They are adult dragonflies so old that they can no longer fly have fallen into the pond but have not yet drowned.,They are adult dragonflies that must like many amphibian species return to water in order to mate.,,1,
2075,If the pond organisms are larvae ; rather than adults ; Sarah should expect them to have all of the following structures ; EXCEPT _______.,Multiple Choice,antennae,an open circulatory system,an exoskeleton of chitin,compound eyes,mature sex organs,5,
2076,In a tide pool; a student encounters an organism with a hard outer covering that contains much calcium carbonate- an open circulatory system ; and gills. The organism could potentially be a crab ; a shrimp ; a barnacle ; or a bivalve. The presence of which of the following structures would allow for the most certain identification of the organism?,Multiple Choice,A mantle,A heart,A coelom,A filter-feeding apparatus,Antennae,1,
2077,Nematode worms and annelid worms share which of the following features?,Multiple Choice,Both have a digestive tract with two openings (a mouth and an anus),Both shed their skin,Presence of segmentation both are segmented,Both have a coelom completely lined with mesoderm,,1,
2078,Arthropod exoskeletons and mollusk shells both _______.,Multiple Choice,are shed periodically during growth,are secreted by the mantle,help retain moisture in terrestrial habitats,are comprised of the polysaccharide chitin,,3,
2079,Complete this model of an amphipod (phylum Arthropoda) by labeling the orientation. Indicate the correct label for each blank. Not all labels will be used.,Multiple Choice,CheckTB,CheckTB1,,,,1,/static/images/q2079.png
2080,Which view of an insect body plan (phylum Arthropoda) does this model represent?,Multiple Choice,Longitudinal section,Cross section,Ventral view,Lateral view,Dorsal view,5,/static/images/q2080.png
2081,A “ground line” could be added beneath the legs of both models to clarify the view of the animal body plans.,True/False,TRUE,FALSE,,,,1,/static/images/q2080.png
2082,The difference between centipedes and millipedes is that centipedes have 100 legs and millipedes have 1000 legs.,True/False,TRUE,FALSE,,,,2,/static/images/q2080.png
2083,These two kinds of myriapods are exactly the same size.,True/False,TRUE,FALSE,,,,2,/static/images/q2080.png
2084,Both kinds of myriapods have a segmented body plan.,True/False,TRUE,FALSE,,,,1,/static/images/q2080.png
2085,These models show that centipedes are carnivores and millipedes are detritivores.,True/False,TRUE,FALSE,,,,2,/static/images/q2080.png
2086,These models show a dorsal view of myriapods.,True/False,TRUE,FALSE,,,,2,/static/images/q2080.png
2087,Interpret the body plan models of three phyla of worms. Indicate the correct label for each blank. Not all labels will be used.,Multiple Choice,CheckTB,CheckTB1,,,,1,/static/images/q2087.png
2088,Interpret the body plan models. Identify the correct phylum for each and its body cavity type. Indicate the correct label for each blank.,Multiple Choice,CheckTB,CheckTB1,,,,1,/static/images/q2088.png
2089,Certain groups in the Green Plants the Deuterostomes and the Protostomes evolved waterproof skin to successfully solve the challenge of desiccation on dry land. Which of the following Protostomes have waterproof skin?,Multiple Choice,Arthropods,Platyhelminthes,Annelids,Mollusks,,1,
2090,Which one of these groups does NOT shed its skin?,Multiple Choice,Velvet worms,Tardigrades,Nematodes,Rotifers,Arthropods,4,
2091,Octopuses have eyes that are very similar to vertebrate eyes and have demonstrated learning and memory skills. Evolutionarily they are most closely related to the ___.,Multiple Choice,nematodes,chordates,annelids,arthropods,,3,
2092,A member of the Ecdysozoan group of animals _______. 1. must shed its skin to grow 2. could have a trochophore larval stage 3. could be a nematode 4. must be segmented,Multiple Choice,1 only,1 and 2,1 and 3,1 and 4,1 3 and 4,3,
2093,An appetizer “sampler” of escargot (snails)-  clams on the half shell  and calamari (squid) would contain _______ mollusks. 1. Gastropod 2. Bivalve 3. Cephalopod ,Multiple Choice,1 and 2,2 and 3,1 and 3,1 2 and 3,,4,
2094,Based on modern phylogeny the lineage evolutionarily closest to insects are the ___.,Multiple Choice,echinoderms,annelids,mollusks,nematodes,,4,
2095,The insects are an extremely successful arthropod group that can successfully colonize many types of habitats. Which of the following habitats are NOT successfully colonized by insects?,Multiple Choice,Cities,Deserts,Freshwater ponds,Oceans,,4,
2096,Mollusks and arthropods are two invertebrate phyla that are extremely diverse. Which of the following is an important characteristic that led to their diversification? Both phyla _______.,Multiple Choice,developed waterproof external coverings to protect them from drying out,have flexible compartmentalized body plans for a variety of body forms,have a variety of appendages with various functions,include groups that successfully transitioned from aquatic to terrestrial habitats,compartmentalized body plans and the transition from water to land both contribute to diversification in mollusks and arthropods,5,
2097,Which of the following is a similarity based on shared ancestry—NOT convergent evolution?,Multiple Choice,Compound eyes in crustaceans and insects,Filter feeding in clams and barnacles,Parasitism of digestive tract in tapeworms and nematodes,Segmentation in annelids and arthropods,,1,
2098,What is a similarity that annelids and nematodes share that makes them different from Platyhelminthes? For example unlike Platyhelminthes both annelids and nematodes ___.,Multiple Choice,have tissues derived from mesoderm,have a coelom,are segmented,shed their skin,include some species that are parasites,2,
