Question ID,Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Image
1918,Among the organisms listed here which are thought to be the closest relatives of fungi?,Multiple Choice,Animals + choanoflagellates,Plants + animals,Amoebozoans,Brown algae,Slime molds,1,
1919,Studies have shown that in some forest ecosystems carbon can move from one tree to another via mycorrhizal fungi. Which of the following features of fungal biology enables this?,Multiple Choice,The cells of fungal hyphae are connected by pores that allow passage of cytoplasm from cell to cell.,Fungal cells have large numbers of transporter proteins for moving digested materials around the mycelia.,Fungal cells have flagella which can help with movement of materials.,Mycorrhizae form symbiotic associations with bacteria that assist with transport.,,1,
1920,It has been hypothesized that fungi and plants have a mutualistic relationship because plants make sugars available for the fungi's use. What is the best evidence in support of this hypothesis?,Multiple Choice,Fungi survive better when they are associated with plants.,Radioactively labeled sugars produced by plants eventually show up in the fungi with which they are associated.,Fungi associated with plants have the ability to undergo photosynthesis and produce their own sugars ; whereas those not associated with plants do not produce their own sugars.,Radioactive labeling experiments show that plants pass crucial raw materials to the fungus for manufacturing sugars.,,2,
1921,You have discovered a new species of fungi. Which of the following features would support describing this new species as a zygomycete?,Multiple Choice,The fungus forms yoked hyphae during reproduction.,The fungus produces flagellated spores.,The fungus has a multicellular n phase as part of its life cycle.,The fungus produces sporangia containing exactly 8 spores.,The fungus is able to form associations with plant roots.,1,
1922,At which stage of a basidiomycete's life cycle would reproduction be halted if an enzyme that prevented the fusion of hyphae was introduced?,Multiple Choice,Meiosis,Fertilization,Karyogamy,Plasmogamy,Germination,4,
1923,When a mycelium infiltrates an unexploited source of dead organic matter ; what are most likely to appear within the food source soon thereafter?,Multiple Choice,Fungal spores,Fungal enzymes,Increased potassium levels,Increased oxygen levels,Larger bacterial populations,2,
1924,Fungi with hyphae ___.,Multiple Choice,acquire their nutrients by phagocytosis,are called yeasts,have cell walls that consist mainly of cellulose microfibrils,are adapted for rapid directional growth to new food sources,reproduce asexually by a process known as budding,4,
1925,In septate fungi ; what structures allow cytoplasmic streaming to distribute needed nutrients ; synthesized compounds ; and organelles throughout the hyphae?,Multiple Choice,Multiple chitinous layers in cross-walls,Pores in septa,Complex microtubular cytoskeletons,Two nuclei,Tight junctions that form in cross-walls between cells,2,
1926,Which of the following characteristics is unique to chytrids compared to other groups of fungi?,Multiple Choice,[Missing Text - Likely Flagellated Spores],Autotrophic mode of nutrition,Cell walls of cellulose,Presence of a multicellular haploid stage,,1,
1927,You are given an organism to identify. It has a fruiting body that contains many structures with eight haploid spores lined up in a row. What kind of a fungus is this?,Multiple Choice,Zygomycete,Ascomycete,Glomeromycete,Chytrid,Basidiomycete,2,
1928,Apart from direct amphibian-to-amphibian contact ; what is the most likely means by which the zoospores spread from one free-living amphibian to another?,Multiple Choice,By wind,By flagella,By pseudopods,By hyphae,,2,
1929,The adaptive advantage associated with the filamentous nature of fungal mycelia is primarily related to ___.,Multiple Choice,the ability to parasitize other organisms,avoiding sexual reproduction until the environment changes,the potential to inhabit almost all terrestrial habitats,the increased probability of contact between different mating types,an extensive surface area well suited for absorptive nutrition,5,
1930,It has been hypothesized that fungi and plants have a mutualistic relationship because fungi provide critical nitrogen for the plants' use. How do we know this happens? In experiments using radioactively labeled ___.,Multiple Choice,nitrogen ; plants acquired more radioactive nitrogen when they were associated with fungi,nitrogen ; labeled nitrogen showed up in fungi when the fungi were symbiotic with plants,carbon ; plants acquired more radioactive carbon when they were associated with fungi,,,1,
1931,Why are mycorrhizal fungi superior to plants at acquiring mineral nutrition from the soil?,Multiple Choice,Hyphae are 100 to 1000 times larger than plant roots.,Hyphae have a smaller surface-area-to-volume ratio than do the hairs on a plant root.,Mycelia are able to grow in the direction of food.,Fungi secrete extracellular enzymes that can break down large molecules.,,4,
1932,Basidiomycetes are the only fungal group capable of synthesizing lignin peroxidase. What advantage does this group of fungi have over other fungi because of this capability?,Multiple Choice,This is always the first group of fungi to begin any kind of plant decomposition.,This fungal group can break down the tough lignin ; which cannot be harnessed for energy ; to gain access to the more useful energy source cellulose.,This is the only group of fungi that can use lignin for adenosine triphosphate (ATP) production.,This enzyme releases heat energy from the breakdown of lignin that is used to kill off competing fungi.,,2,
1933,Why is it important that ectomycorrhizal fungi (EMF) have peptidase enzymes?,Multiple Choice,These enzymes are necessary to break through the tough lignin layers in plants.,These enzymes assist with the breakdown of cellulose.,These enzymes are needed to release nitrogen from dead plant material.,,,3,
1934,What group of fungi has the ability to penetrate its host's cell wall ; thus increasing the efficiency with which materials are passed from fungus to host?,Multiple Choice,Ectomycorrhizal fungi,Arbuscular mycorrhizal fungi,Endophytes,Lichens,,2,
1935,Some fungal species can kill herbivores while feeding off of sugars from its plant host. What type of relationship does this fungus have with its host?,Multiple Choice,Parasitic,Mutualistic,Commensal,Predatory,,2,
1936,Based on the graphs in the accompanying figure which of the following plant species is most likely NOT to form mycorrhizal associations?,Multiple Choice,Carex flacca (graph a),Lotus corniculatus (graph b),Sanguisorba officinalis (graph c),Centaurium erythrea (graph d),,1,/static/images/q1936.png
1937,Based on graphs in the accompanying figure ; which of the following is the best description of the data supporting the idea that a plant species did NOT form mycorrhizae with a fungus? Its biomass is the greatest when ___.,Multiple Choice,no AMF are present,AMF fungus A is present,AMF fungus B is present,AMF fungus C is present,all AMF are present,1,/static/images/q1936.png
1938,In graph (b) in the accompanying figure which of the following best explains the data given about Lotus corniculatus?,Multiple Choice,This plant grows best when AMF taxa A is present.,Lotus corniculatus does not form mycorrhizal associations.,Mycorrhizal fungi parasitize the plant's roots when they are present reducing its growth.,This plant forms multiple AMF associations growing best with increased fungal diversity.,,4,/static/images/q1936.png
1939,What is the major difference between Bromus erectus (graph f) and the other plant species (graphs a-d) included in the study?,Multiple Choice,Bromus erectus grows best with a diversity of fungal partners.,Bromus erectus is unaffected by AMF diversity.,Bromus erectus shows dramatic reduction in growth in the presence of AMF.,Bromus erectus produces very little biomass regardless of AMF.,,2,/static/images/q1936.png
1940,Why does total biomass (graph e in the accompanying figure) NOT vary with AMF diversity?,Multiple Choice,Plant growth is unaffected by fungal diversity.,Most of the plant species in this system do not form mycorrhizal associations.,Lotus corniculatus the dominant plant species.,,,3,/static/images/q1936.png
1941,Which of the following terms refers to symbiotic relationships involving fungi living between the cells in plant leaves?,Multiple Choice,Pathogens,Endosymbioses,Endophytes,Lichens,Mycorrhizae,3,
1942,In most fungi ; karyogamy does not immediately follow plasmogamy ; which consequently ___.,Multiple Choice,means that sexual reproduction can occur in specialized structures,results in multiple diploid nuclei per cell,allows fungi to reproduce asexually most of the time,results in heterokaryotic or potentially even dikaryotic cells,is strong support for the claim that fungi are not truly eukaryotic,4,
1943,[Text Missing] resemble animal sperm. To which of the following groups does the fungus belong?,Multiple Choice,Chytrids,Zygomycetes,Basidiomycota,Ascomycota,Microsporidia,1,
1944,The asexual sporangia of the bread mold Rhizopus are ___.,Multiple Choice,structures that produce haploid spores via mitosis,structures that produce diploid spores via mitosis,structures that produce haploid spores via meiosis,structures that produce diploid spores via meiosis,,1,
1945,In both lichens and mycorrhizae ; what does the fungal partner provide to its photosynthetic partner?,Multiple Choice,Carbohydrates,Fixed nitrogen,Antibiotics,Protection from harmful ultraviolet light,,4,
1946,Microsporidians are considered parasitic because of the ability to penetrate their host cells using ___.,Multiple Choice,a mycelium,a polar tube,sporangia,chitin,,2,
1947,Many amphibian populations have been decimated by a parasitic fungus classified as a member of the ___.,Multiple Choice,Chytridiomycota,Ascomycota,Basidiomycota,Zygomycota,Glomeromycota,1,
1948,Lichens are symbiotic associations of fungi and ___.,Multiple Choice,mosses or algae,green algae or liverworts,mosses or cyanobacteria,,,2,
1949,Which of the following best describes the physical relationship of the partners involved in lichens?,Multiple Choice,Fungal cells are enclosed within algal cells.,Lichen cells are enclosed within fungal cells.,Photosynthetic cells are surrounded by fungal hyphae.,The fungi grow on rocks and trees and are covered by algae.,Algal cells and fungal cells mix together without any apparent structure.,3,
1950,___ form ectomycorrhizal relationships with temperate forest trees while ___ form arbuscular (endomycorrhizal) relationships with plants in grasslands and tropical forests.,Multiple Choice,Zygomycetes; chytridiomycetes,Ascomycetes; zygomycetes,Basidiomycetes; glomeromycetes,Glomeromycetes; ascomycetes,Chytridiomycetes; basidiomycetes,3,
1951,Some fungi have been instrumental in the development of human culture including ___ in the phylum ___ as they have been in use for hundreds of years in producing beer and bread.,Multiple Choice,chytrids; Chytridiomycota,yeasts; Ascomycota,puffballs; Basidiomycota,bread molds; Zygomycota,arbuscular mycorhizae; Glomeromycota,2,
1952,Which of the following fungal groups may NOT be monophyletic?,Multiple Choice,Glomeromycota,Ascomycota,Basidiomycota,Zygomycota,The Dikaryotic fungi,4,
1953,Our current phylogeny of the fungi contains a polytomy. If additional data allowed us to resolve the polytomy ; and we discovered that Zygomycetes are monophyletic ; but Chytrids are not monophyletic ; which of the following hypotheses about fungal evolution would most likely be correct?,Multiple Choice,Flagellated spores may have evolved several times.,The zygosporangium may have evolved several times.,Septate hyphae may have evolved several times.,Both flagellated spores and the zygosporangium may have evolved several times.,Flagellated spores ; the zygosporangium ; and septate hyphae all may evolved several times.,1,
1954,A fungal species produces spores in sets of four that are mounted on a short stalk. Which of the following features would you NOT expect to find in this species?,Multiple Choice,Dikaryotic cells,Coenocytic hyphae,Cell walls with chitin,Absorptive nutrition,Plasmogamy,1,
1955,"Upon visiting Malheur National Forest ; this ""largest living organism"" won't be obvious to you ; because the vast majority is found underground. The underground portion of the fungus is referred to as the ___.",Multiple Choice,mycelium,hyphae,spores,reproductive structures,,1,
1956,The reproductive structure of Armillaria ostoyae forms aboveground and has the stereotypical mushroom shape. Therefore ; A. ostoyae represents a fungus from which key lineage?,Multiple Choice,Ascomycota,Basidiomycota,Glomeromycota,Zygomycetes,Chytrids,2,/static/images/q1956.png
1957,Characteristics of these reproductive structures (mushrooms) include all of the following EXCEPT ___.,Multiple Choice,hyphae,dikaryotic,mycelium,basdia/basidium,sexual reproduction,3,
1958,Fungal spores ___.,Multiple Choice,divide by mitosis to make hyphae,divide by mitosis to make sexual fruiting bodies,divide by meiosis to make more spores,fuse with one another to make diploid hyphae,are only produced by sexual reproduction,1,
1959,In fungal life cycles plasmogamy results in the formation of ___.,Multiple Choice,dikaryotic hyphae that form the reproductive structure,a diploid nucleus that will undergo meiosis,diploid hyphae that form the reproductive structure,haploid spores,the asci/basidia,1,
1960,Despite the misconception that plants and fungi are closely related fungi are actually more closely related to animals. Which of the following is a correct statement that supports this relationship?,Multiple Choice,Both fungi and animals are always multicellular.,Both fungi and animals have mitochondria.,Both fungi and animals have cell walls made of chitin,Both fungi and animals are heterotrophic.,,4,
1961,You are looking at slides of plant root tissue for a research project ; and notice some cells that appear to have branching darkly stained structures inside of the root cells. You remember learning about plant mutualisms with fungi and determine these structures are most likely due to ___ from the fungal lineage ___.,Multiple Choice,arbuscular mycorrhizal fungi; Glomeromycota,ectomycorrhizal fungi; Glomeromycota,arbuscular mycorrhizal fungi; Ascomycota,ectomycorrhizal fungi; Ascomycota,lichen; Basidiomycota,1,
1962,Basidiomycota is distinguished from the ascomycota because members of the basidiomycota ___.,Multiple Choice,produce 4 spores at the end of a round of sexual reproduction,have many members that reproduce exclusively asexually using conidia,undergo karyogamy in a club shaped structure that will contain the sexual spores,produce reproductive structures composed of dikaryotic hyphae,,3,
1963,Conidia are ___.,Multiple Choice,structures involved in asexual reproduction in all fungi,structures involved in sexual reproduction in some groups of fungi,structures involved in asexual reproduction in some groups of fungi,structures involved in asexual reproduction in some groups of fungi,,4,
1964,Sexual reproduction in Basidiomycota involves all of the following terms; starting from a spore until spores are produced again and the life cycle is complete. Place all the terms provided in the correct order they are observed in a fungal sexual life cycle beginning and ending with spores:,Multiple Choice,Spore mitosis haploid hyphae plasmogamy dikaryotic hyphae karyogamy meiosis spore,Spore meiosis dikaryotic hyphae karyogamy haploid hyphae plasmogamy mitosis spore,Spore mitosis haploid hyphae karyogamy dikaryotic hyphae plasmogamy meiosis spore,Spore meiosis haploid hyphae plasmogamy dikaryotic hyphae karyogamy meiosis spore,,1,
1965,Which of the following correctly matches a phase of the Rhizopus (Zygomycetes) life cycle with the correct ploidy?,Multiple Choice,Zygote — n,Asexual sporangia — 2n,Hyphae — n,Zygosporangia — n,Spore — 2n,3,
1966,Fungi form many kinds of symbioses with other organisms. Which of the following correctly pairs the fungal association with the type of symbiosis?,Multiple Choice,Lichen-parasitic,Ectomycorrhizal fungi-commensal,"""Zombie ant"" (ant and Ophiocordyceps fungus)- mutualistic",Arbuscular mycorrhizal fungi-mutualistic,Endophyte- parasitic,4,
