Question ID,Question Text,Correct Answer,Concept Explanation
1728,Broad-spectrum antibiotics inhibit the growth of most intestinal bacteria. Consequently... a hospital patient who is receiving broad-spectrum antibiotics is most likely to become _______.,deficient in certain vitamins and nutrients,Gut bacteria in the human microbiome play essential roles in synthesizing vitamins and aiding digestion; killing them can lead to nutrient deficiencies.
1729,Carl Woese and collaborators identified two major branches of prokaryotic evolution. What was the basis for dividing prokaryotes into two domains?,Genetic characteristics such as ribosomal RNA sequences,Woese used 16S and 18S rRNA sequences to determine that bacteria and archaea were as different from each other as they were from eukaryotes.
1730,You might be interested to know how many different types of bacteria live on the shower curtain in your bathroom. What is the most efficient method for finding out?,Direct sequencing,Direct sequencing or metagenomics is most efficient for identifying diversity (types) because many bacteria cannot be grown in a lab culture.
1731,Researchers isolated the first bacteria able to degrade TCA. They found that the bacteria use hydrogen as an electron donor TCA as an electron acceptor and acetate as a carbon source. Deduce the method used to isolate these bacteria.,Enrichment culture,"Isolation based on specific metabolic inputs (H2 donor, TCA acceptor) is the hallmark of the enrichment culture technique."
1732,Microbiologists use the Gram stain to aid in the identification of bacteria. What is the major difference between Gram-positive and Gram-negative bacteria?,Presence or absence of outer plasma membrane,"Gram-positive bacteria have a thick peptidoglycan layer and no outer membrane, while Gram-negative bacteria have a thin layer and an outer phospholipid bilayer."
1733,Biologists sometimes divide living organisms into two groups: autotrophs and heterotrophs. These two groups differ in _______.,their mode of nutrition,"The primary difference is the source of carbon used for synthesis: autotrophs use simple molecules like  $CO_{2}$ , while heterotrophs absorb organic compounds."
1734,Imagine that you are given some chemoorganotrophic bacteria to grow. What should you use as a source of energy for this type of bacteria?,Sugar,"Chemoorganotrophs obtain energy by oxidizing organic molecules with high potential energy, such as sugars (glucose)."
1735,A prokaryote that obtains energy and carbon as it decomposes dead organisms is a(n) _______.,heterotroph and chemotroph,Decomposers are heterotrophs (absorbing carbon from dead tissue) and chemotrophs (oxidizing organic molecules for energy).
1736,A prokaryote that obtains carbon and energy by ingesting prey is a(n) _______.,heterotroph and chemotroph,Ingesting organic matter from other organisms makes the organism both a heterotroph (carbon source) and a chemoorganotroph (energy source).
1737,A prokaryote that obtains energy from light is a(n) _______.,phototroph,Phototrophs use light energy to excite electrons and produce ATP through photophosphorylation.
1738,Which of the following obtain energy by oxidizing inorganic substances to obtain energy that is used in part to fix carbon dioxide?,Chemoautotrophs,Chemolithoautotrophs oxidize inorganic molecules (like ammonia) for energy and synthesize their own carbon compounds from  $CO_{2}$ .
1739,The purple nonsulfur bacterium Rhodospirillum grows best as a photoheterotroph. What are the most favorable sources of energy and carbon for this bacterium?,Fructose and light,"As a photoheterotroph, it uses light for energy and absorbs organic molecules (like fructose) as its carbon source."
1740,A newly discovered organism is found to use sulfide ( $S^{2-}$ ) for aerobic respiration and carbon dioxide ( $CO_{2}$ ) from the air as a source of carbon much like a plant. This organism must be a _______.,chemolithoautotroph,Organisms that use inorganic electron donors (sulfide) and fix their own carbon ( $CO_{2}$ ) are classified as chemolithoautotrophs.
1741,What kind of molecules serve as electron acceptors in cellular respiration?,Molecules with low potential energy,"In cellular respiration, electrons are stepped down from high-energy donors to low-potential-energy acceptors to release energy for ATP."
1742,When some bacteria use lactose as a source of energy they produce propionic acid and carbon dioxide. What is the name for this process?,Fermentation,Fermentation is a metabolic strategy that does not use an outside electron acceptor and results in various organic by-products like propionic acid.
1743,A biologist... provides several different substrates on which the bacteria can feed. Which of the following results would indicate that the species uses fermentation to produce ATP?,After exposure to amino acids the bacteria produce a smell like rotting flesh.,"The fermentation of amino acids produces by-products like cadaverine and putrescine, which are responsible for the odor of rotting flesh."
1744,During cellular respiration some bacteria use methane ( $CH_{4}$ ) as an electron donor and oxygen ( $O_{2}$ ) as an electron acceptor. What is the name for this group of bacteria?,Methanotrophs,Methanotrophs use methane as both a carbon source and an electron donor for cellular respiration.
1745,A bacterium was grown in two test tubes filled with media rich in glucose. One tube was sealed to produce anaerobic conditions and the other was not. If the bacterium is able to produce ATP only by aerobic respiration we expect lightening of media in _______.,the unsealed tube only,"Aerobic respiration requires oxygen as the final electron acceptor, which is only available in the unsealed tube."
1746,Which of the following extremophiles might researchers most likely use as a model for the earliest organisms on Earth?,An anaerobic archaean species,"Early Earth lacked oxygen, and models suggest the first life-forms were anaerobic thermophiles living in extreme heat and pressure."
1747,You acquire a soil sample and run an enrichment culture on it. You provide the organisms in the culture with all of the ingredients required for growth except for nitrogen. What result do you expect?,Nitrogen-fixing bacteria will significantly outnumber those incapable of fixing nitrogen,"Without added nitrogen, only organisms capable of nitrogen fixation (converting  $N_{2}$  gas to ammonia) will be able to grow and dominate the culture."
1748,Multicellularity and large body size of eukaryotic organisms require high metabolic rates and efficient ATP production by aerobic respiration. How did bacteria change Earth’s atmosphere to enable aerobic respiration?,Oxygenic photosynthesis by cyanobacteria significantly increased the amount of oxygen in the atmosphere.,"Cyanobacteria were the first to perform oxygen-producing photosynthesis, which eventually oxygenated the atmosphere and enabled aerobic respiration."
1749,What is the characteristic feature of the Chlamydiales phylum?,Parasitic life cycle,"All known species of Chlamydiae are parasitic endosymbionts, meaning they live exclusively inside living host cells."
1750,You run an osteology lab... you introduce insects and bacteria to remove all remaining flesh. Which bacteria would be the best purchase for your lab?,Actinobacteria,"Many Actinobacteria, such as those in the genus Streptomyces, are important decomposers of dead animal and plant material in soil."
1751,You have found a new prokaryote. What line of evidence would support your hypothesis that the organism is a cyanobacterium?,It is able to form colonies and produce oxygen.,Cyanobacteria are defined by their ability to perform oxygenic photosynthesis and often live in filaments or colonies.
1752,Which of the following groups is characterized by unusual flagella contained within a structure called the outer sheath?,Spirochaetes/Spirochetes,Spirochetes are unique for having internal flagella located in an outer sheath that cause the cell to move in a spiral or corkscrew fashion.
1753,Plantlike photosynthesis that releases oxygen ( $O_{2}$ ) occurs in _______.,cyanobacteria,"Cyanobacteria perform oxygenic photosynthesis using water as an electron donor, a process identical to that found in plants."
1754,Researchers have found a new type of bacteria and they want to determine its phylum. What would be the most reliable method to do so?,Determining the ribosomal RNA sequence of the bacteria,Phylogenetic analysis of ribosomal RNA (16S rRNA) is the modern standard for determining evolutionary relationships and phylum classification.
1755,Which of the following lineages have members found in highly acidic environments?,Both Crenarchaeota (Eocytes) and Euryarchaeota,"Crenarchaeota thrive in hot acidic springs, and some Euryarchaeota produce acids in mines or live in highly acidic environments."
1756,Members of the Euryarchaeota can be found in which habitat(s)?,"Acidic hot springs, highly alkaline environments, and the human intestine","Euryarchaeota is a broad phylum whose members occupy diverse niches, including extreme pH environments and animal digestive tracts."
1757,What is the advantage of using rRNA over mRNA for the construction of phylogenetic trees?,mRNA transcripts vary greatly as they are dependent upon the genome of the organism whereas rRNA is found in all organisms.,"Ribosomal RNA is highly conserved and found in every living organism, making it a reliable universal marker for evolutionary history."
1758,In which of the following environments would one expect to find prokaryotes?,All of these environments contain prokaryotes.,"Bacteria and archaea are ubiquitous, living on humans, in salt lakes, near volcanoes, and in common soil."
1759,Tetanus is a bacterial infection... How do these bacteria survive in the inhospitable environment of a rusty nail?,The bacteria form endospores with no metabolic activity.,"Endospores are thick-walled, dormant structures that allow bacteria like Clostridium tetani to survive extreme stress, including starvation and heat."
1760,Bioremediation can be accomplished by adding nitrogen to a site contaminated by an oil spill. How does this occur?,Nitrogen encourages the growth of prokaryotes that feed on oil.,Nitrogen serves as a fertilizer (biostimulation) that allows indigenous bacteria to synthesize the enzymes needed to metabolize hydrocarbons.
1761,A gut sample is the subject of a study to identify new bacteria. Which of the following molecules is most useful in a metagenomic approach?,DNA,Metagenomics is based on extracting and sequencing the total DNA from an environmental sample to identify all genes and species present.
1762,On which parts of a healthy human body is one likely to find a prokaryote-rich microbiome?,Mouth,The mouth is home to about 700 species of prokaryotes; internal organs like the heart and liver are normally sterile.
1763,Genetic recombination in bacteria does NOT occur by which of the following mechanisms?,Meiosis,Bacteria and archaea are haploid and reproduce via binary fission; they do not undergo meiosis or sexual reproduction.
1764,Viral genes can be introduced into bacteria by which of the following mechanisms?,Transduction,Transduction occurs when viruses (bacteriophages) pick up DNA from one cell and inject it into another.
1765,Consider three species... Species A uses Iron as an electron acceptor. Species B uses Nitrate... Species C uses Oxygen... Which species will harvest the least amount of energy from a single molecule of glucose?,Species A,"Oxygen is the most efficient electron acceptor; iron is much less efficient, resulting in the lowest energy harvest per molecule of glucose."
1766,What property of atmospheric nitrogen prevents eukaryotes from using this form of nitrogen in protein and nucleic acid synthesis?,The strong triple bond between nitrogen atoms,The  $N_{2}$  molecule is held together by a strong triple bond that most organisms cannot break; only certain prokaryotes have the enzyme nitrogenase.
1767,Firmicutes are commonly found in the human gut. These bacteria are most likely to be _______.,heterotroph and chemotroph,Gut-dwelling bacteria typically obtain both carbon and energy from the organic matter (food) ingested by their host.
1768,The protist lineage includes all eukaryotes EXCEPT _______.,"animals, land plants, and fungi","Eukarya consists of animals, plants, fungi, and protists; protists are a diverse group that excludes the three major multicellular lineages."
